								
#station_barter								
Id	CorpProduceItems	CorpAdditionalConsumeItems	CivResProduceItems	CivResAdditionalConsumeItems	QuasiProduceItems	QuasiAdditionalConsumeItems	PiratesProduceItems	PiratesAdditionalConsumeItems
GammaHydra	science_devices_7 science_devices_2 tech_prod_pist_2	moon_crossbow mercury_staff moon_heavy_armor moon_armor azt_light_armor azt_heavy_armor venus_armor_shards moon_armor_shards demonic_aye skull_explosion skull_ray skull_contract_mercury skull_bloodstrike skull_bloodlust skull_call_of_blood skull_contract_venus skull_transformation skull_resurrection skull_contract_luna itemChip mediumItemChip highItemChip merkUSB classUSB	science_devices_7 resistant_prod_2 tech_prod_pist_1	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	weapon_container robot_parts_container ai_module quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components	science_devices_2 tech_prod_pist_2	moon_crossbow mercury_staff moon_heavy_armor moon_armor azt_light_armor azt_heavy_armor venus_armor_shards moon_armor_shards demonic_aye skull_explosion skull_ray skull_contract_mercury skull_bloodstrike skull_bloodlust skull_call_of_blood skull_contract_venus skull_transformation skull_resurrection skull_contract_luna itemChip mediumItemChip highItemChip merkUSB classUSB
EnergyOne	prod_industry_2 prod_industry_6 prod_industry_7 prod_industry_8 vest_prod_1 armor_prod_4	servo_backpack electrical_parts_container quasi_sensor_device management_unit darknet_unit military_unit drug_cargo gunbang_magazine itemChip mediumItemChip highItemChip merkUSB classUSB	prod_industry_2 prod_industry_8 resistant_prod_2 vest_prod_2 armor_prod_2	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	weapon_container robot_parts_container ai_module quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components	prod_industry_6 prod_industry_7 vest_prod_2 armor_prod_1	servo_backpack electrical_parts_container quasi_sensor_device management_unit darknet_unit military_unit drug_cargo gunbang_magazine itemChip mediumItemChip highItemChip merkUSB classUSB
Photosphere	food_mining_2 food_mining_3 power_action_5 fire_prod_pist_6	ai_module scientific_equipment research_disk prototype_schematics precious_metals gunbang_magazine medical_components itemChip mediumItemChip highItemChip merkUSB classUSB	food_mining_2 food_mining_3 resistant_prod_2 fire_prod_pist_5 food_prod_4	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	weapon_container robot_parts_container ai_module quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components	food_mining_2 food_mining_3 fire_prod_pist_6 food_prod_4	ai_module scientific_equipment research_disk prototype_schematics precious_metals gunbang_magazine medical_components itemChip mediumItemChip highItemChip merkUSB classUSB
JourneyOfFire	entertaiment_action_2 entertaiment_action_5 entertaiment_action_1 spy_action_5	morphine rocketCandy caviar wagyu_steak truffle_oil tuna_steak itemChip mediumItemChip highItemChip merkUSB classUSB	power_action_1 resistant_prod_2 spy_action_5	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container security_clothing_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	weapon_container robot_parts_container ai_module quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components	entertaiment_action_2 entertaiment_action_5 entertaiment_action_1 spy_action_5	morphine rocketCandy caviar wagyu_steak truffle_oil tuna_steak itemChip mediumItemChip highItemChip merkUSB classUSB
Campbell	science_devices_5 science_devices_6 transit_2 tech_ammo_depo_3	moon_crossbow mercury_staff moon_heavy_armor moon_armor azt_light_armor azt_heavy_armor venus_armor_shards moon_armor_shards demonic_aye skull_explosion skull_ray skull_contract_mercury skull_bloodstrike skull_bloodlust skull_call_of_blood skull_contract_venus skull_transformation skull_resurrection skull_contract_luna itemChip mediumItemChip highItemChip merkUSB classUSB	science_devices_5 transit_2 resistant_prod_2 tech_ammo_depo_3	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	weapon_container robot_parts_container ai_module quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components	science_devices_6 transit_2 tech_ammo_depo_3	moon_crossbow mercury_staff moon_heavy_armor moon_armor azt_light_armor azt_heavy_armor venus_armor_shards moon_armor_shards demonic_aye skull_explosion skull_ray skull_contract_mercury skull_bloodstrike skull_bloodlust skull_call_of_blood skull_contract_venus skull_transformation skull_resurrection skull_contract_luna itemChip mediumItemChip highItemChip merkUSB classUSB
IbsaPrison	other_industry_1 other_industry_2 other_industry_3 other_industry_6 fire_prod_shotg_4	miner_clothing_container worker_clothing_container weapon_container electrical_parts_container ai_module communication_relay quasi_sensor_device geoscanner_device chemical_analyzer hydraulic_pump packaged_recreational_robot itemChip mediumItemChip highItemChip merkUSB classUSB	other_industry_1 other_industry_2 resistant_prod_2 fire_prod_shotg_3	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	weapon_container robot_parts_container ai_module quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components	other_industry_3 other_industry_6 fire_prod_shotg_3	miner_clothing_container worker_clothing_container weapon_container electrical_parts_container ai_module communication_relay quasi_sensor_device geoscanner_device chemical_analyzer hydraulic_pump packaged_recreational_robot itemChip mediumItemChip highItemChip merkUSB classUSB
Jinxing	military_devices_1 military_devices_2 military_devices_3 military_devices_5 transit_4 fire_prod_mark_2	miner_clothing_container worker_clothing_container scientist_clothing_container security_clothing_container weapon_container armor_container geoscanner_device welding_machine_device chemical_analyzer quasiresearch_disk entertainment_software precious_metals itemChip mediumItemChip highItemChip merkUSB classUSB	military_devices_1 military_devices_2 resistant_prod_2 fire_prod_mark_1	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container security_clothing_container weapon_container armor_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	weapon_container robot_parts_container ai_module quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components	military_devices_3 military_devices_5 fire_prod_mark_2	miner_clothing_container worker_clothing_container scientist_clothing_container security_clothing_container weapon_container armor_container tool_container geoscanner_device welding_machine_device chemical_analyzer quasiresearch_disk entertainment_software precious_metals itemChip mediumItemChip highItemChip merkUSB classUSB
HISUnveiled	science_mining_5 science_mining_1 science_mining_2 spy_action_1 med_prod_2	moon_crossbow mercury_staff moon_heavy_armor moon_armor azt_light_armor azt_heavy_armor venus_armor_shards moon_armor_shards demonic_aye skull_explosion skull_ray skull_contract_mercury skull_bloodstrike skull_bloodlust skull_call_of_blood skull_contract_venus skull_transformation skull_resurrection skull_contract_luna itemChip mediumItemChip highItemChip merkUSB classUSB	science_mining_1 science_mining_2 resistant_prod_2 med_prod_2	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	weapon_container robot_parts_container ai_module quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components	science_mining_5 spy_action_1 med_prod_2	moon_crossbow mercury_staff moon_heavy_armor moon_armor azt_light_armor azt_heavy_armor venus_armor_shards moon_armor_shards demonic_aye skull_explosion skull_ray skull_contract_mercury skull_bloodstrike skull_bloodlust skull_call_of_blood skull_contract_venus skull_transformation skull_resurrection skull_contract_luna itemChip mediumItemChip highItemChip merkUSB classUSB
FrescoPlatforms	other_industry_2 other_industry_3 other_industry_4 other_industry_5 fire_prod_shotg_6	miner_clothing_container worker_clothing_container weapon_container electrical_parts_container ai_module communication_relay quasi_sensor_device geoscanner_device chemical_analyzer hydraulic_pump packaged_recreational_robot itemChip mediumItemChip highItemChip merkUSB classUSB	other_industry_3 other_industry_5 resistant_prod_2 fire_prod_shotg_6	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	weapon_container robot_parts_container ai_module quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components	other_industry_2 other_industry_4 fire_prod_shotg_5	miner_clothing_container worker_clothing_container weapon_container electrical_parts_container ai_module communication_relay quasi_sensor_device geoscanner_device chemical_analyzer hydraulic_pump packaged_recreational_robot itemChip mediumItemChip highItemChip merkUSB classUSB
LouhiCity	prod_mining_3 prod_mining_4 civil_ammo_depo_2 mil_ammo_depo_1	servo_backpack electrical_parts_container quasi_sensor_device management_unit darknet_unit military_unit drug_cargo gunbang_magazine itemChip mediumItemChip highItemChip merkUSB classUSB	prod_mining_3 prod_mining_4 resistant_prod_2 civil_ammo_depo_2 mil_ammo_depo_1	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	weapon_container robot_parts_container ai_module quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components	prod_mining_3 civil_ammo_depo_2 mil_ammo_depo_1	servo_backpack electrical_parts_container quasi_sensor_device management_unit darknet_unit military_unit drug_cargo gunbang_magazine itemChip mediumItemChip highItemChip merkUSB classUSB
Fortuna	science_devices_3 science_devices_4 science_devices_1 tech_prod_pist_2 med_prod_1	moon_crossbow mercury_staff moon_heavy_armor moon_armor azt_light_armor azt_heavy_armor venus_armor_shards moon_armor_shards demonic_aye skull_explosion skull_ray skull_contract_mercury skull_bloodstrike skull_bloodlust skull_call_of_blood skull_contract_venus skull_transformation skull_resurrection skull_contract_luna itemChip mediumItemChip highItemChip merkUSB classUSB	science_devices_1 science_devices_3 resistant_prod_2 tech_prod_pist_1 med_prod_1	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	weapon_container robot_parts_container ai_module quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components	science_devices_4 tech_prod_pist_1 med_prod_1	moon_crossbow mercury_staff moon_heavy_armor moon_armor azt_light_armor azt_heavy_armor venus_armor_shards moon_armor_shards demonic_aye skull_explosion skull_ray skull_contract_mercury skull_bloodstrike skull_bloodlust skull_call_of_blood skull_contract_venus skull_transformation skull_resurrection skull_contract_luna itemChip mediumItemChip highItemChip merkUSB classUSB
Oddibjord	prod_industry_2 prod_industry_6 prod_industry_7 prod_industry_8 armor_prod_5	servo_backpack electrical_parts_container quasi_sensor_device management_unit darknet_unit military_unit drug_cargo gunbang_magazine itemChip mediumItemChip highItemChip merkUSB classUSB	prod_industry_6 prod_industry_7 resistant_prod_2 armor_prod_3	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_1	weapon_container robot_parts_container ai_module quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components	prod_industry_2 prod_industry_8 armor_prod_1	servo_backpack electrical_parts_container quasi_sensor_device management_unit darknet_unit military_unit drug_cargo gunbang_magazine itemChip mediumItemChip highItemChip merkUSB classUSB
Clotho	other_industry_1 other_industry_6 fire_prod_smg_2	miner_clothing_container worker_clothing_container scientist_clothing_container security_clothing_container weapon_container armor_container tool_container geoscanner_device welding_machine_device chemical_analyzer quasiresearch_disk entertainment_software precious_metals itemChip mediumItemChip highItemChip merkUSB classUSB	other_industry_1 resistant_prod_2 fire_prod_smg_1	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	weapon_container robot_parts_container ai_module quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components	other_industry_6 fire_prod_smg_1	miner_clothing_container worker_clothing_container scientist_clothing_container security_clothing_container weapon_container armor_container tool_container geoscanner_device welding_machine_device chemical_analyzer quasiresearch_disk entertainment_software precious_metals itemChip mediumItemChip highItemChip merkUSB classUSB
FeatheredTemple	power_action_2 power_action_3	military_food_container communication_relay mining_equipment construction_equipment memory_software entertainment_software packaged_recreational_robot itemChip mediumItemChip highItemChip merkUSB classUSB	power_action_2 power_action_3 resistant_prod_2	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_1	weapon_container robot_parts_container ai_module quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components	power_action_2 power_action_3	military_food_container communication_relay mining_equipment construction_equipment memory_software entertainment_software packaged_recreational_robot itemChip mediumItemChip highItemChip merkUSB classUSB
SubRosa	science_industry_5 science_industry_6 science_industry_7 science_industry_8 tech_ammo_depo_1 med_prod_4	moon_crossbow mercury_staff moon_heavy_armor moon_armor azt_light_armor azt_heavy_armor venus_armor_shards moon_armor_shards demonic_aye skull_explosion skull_ray skull_contract_mercury skull_bloodstrike skull_bloodlust skull_call_of_blood skull_contract_venus skull_transformation skull_resurrection skull_contract_luna itemChip mediumItemChip highItemChip merkUSB classUSB	science_industry_5 science_industry_6 resistant_prod_2 tech_ammo_depo_2 med_prod_4	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	weapon_container robot_parts_container ai_module quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components	science_industry_7 science_industry_8 tech_ammo_depo_2 med_prod_4	moon_crossbow mercury_staff moon_heavy_armor moon_armor azt_light_armor azt_heavy_armor venus_armor_shards moon_armor_shards demonic_aye skull_explosion skull_ray skull_contract_mercury skull_bloodstrike skull_bloodlust skull_call_of_blood skull_contract_venus skull_transformation skull_resurrection skull_contract_luna itemChip mediumItemChip highItemChip merkUSB classUSB
February	other_industry_1 other_industry_2 other_industry_3 other_industry_6 fire_prod_smg_4	miner_clothing_container worker_clothing_container scientist_clothing_container security_clothing_container weapon_container armor_container tool_container geoscanner_device welding_machine_device chemical_analyzer quasiresearch_disk entertainment_software precious_metals itemChip mediumItemChip highItemChip merkUSB classUSB	other_industry_1 other_industry_2 resistant_prod_2 fire_prod_smg_3	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	weapon_container robot_parts_container ai_module quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components	other_industry_3 other_industry_6 fire_prod_smg_3	miner_clothing_container worker_clothing_container scientist_clothing_container security_clothing_container weapon_container armor_container tool_container geoscanner_device welding_machine_device chemical_analyzer quasiresearch_disk entertainment_software precious_metals itemChip mediumItemChip highItemChip merkUSB classUSB
Kyoko	entertaiment_action_3 entertaiment_action_4 entertaiment_action_5	morphine rocketCandy caviar wagyu_steak truffle_oil tuna_steak packaged_recreational_robot itemChip mediumItemChip highItemChip merkUSB classUSB	power_action_2 resistant_prod_2	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	weapon_container robot_parts_container ai_module quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components	entertaiment_action_3 entertaiment_action_4 entertaiment_action_5	morphine rocketCandy caviar wagyu_steak truffle_oil tuna_steak packaged_recreational_robot itemChip mediumItemChip highItemChip merkUSB classUSB
MechtaShooting	power_action_3 power_action_1 transit_5	miner_clothing_container worker_clothing_container scientist_clothing_container security_clothing_container tool_container geoscanner_device welding_machine_device chemical_analyzer quasiresearch_disk entertainment_software precious_metals itemChip mediumItemChip highItemChip merkUSB classUSB	power_action_3 resistant_prod_2	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	weapon_container robot_parts_container ai_module quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components	power_action_1	miner_clothing_container worker_clothing_container scientist_clothing_container security_clothing_container tool_container geoscanner_device welding_machine_device chemical_analyzer quasiresearch_disk entertainment_software precious_metals itemChip mediumItemChip highItemChip merkUSB classUSB
Kitchen	entertaiment_action_1 entertaiment_action_2 entertaiment_action_3 mil_ammo_depo_1	morphine rocketCandy caviar wagyu_steak truffle_oil tuna_steak itemChip mediumItemChip highItemChip merkUSB classUSB	power_action_4 resistant_prod_2 mil_ammo_depo_1	armor_repair_kit weapon_repair_kit melee_repair_kit security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	weapon_container robot_parts_container ai_module quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components	entertaiment_action_1 entertaiment_action_2 entertaiment_action_3 mil_ammo_depo_1	morphine rocketCandy caviar wagyu_steak truffle_oil tuna_steak itemChip mediumItemChip highItemChip merkUSB classUSB
