#meleeweapons																																	
Id		Price	Weight	InventoryWidthSize	WeaponClass	WeaponSubClass	RequiredAmmo	OverrideAmmo	DefaultAmmoId	Damage	Firemodes	MagazineCapacity	ReloadDuration	ReloadOneClip	DurabilityLossOnThrow	ThrowRange	MeleeCanAmputate	MaxDurability	MinDurabilityAfterRepair	Unbreakable	RepairCategory												
knuckles		20	0.2	1	Fist	Default			implicted_club	10 14 crit 1.50	blunt_single blunt_duble	0	1	FALSE	1	0	FALSE	75	0	FALSE	blunt_melee												
breaker		300	5	2	Fist	Tool	Gas	implicted_club	gas_ammo	16 24 crit 2.00	blunt_breaker	20	3	FALSE	1	0	FALSE	105	0	FALSE	engineering_weapon												
crowbar		200	1	2	Club	Tool			implicted_club	14 22 crit 2.00	blunt_single blunt_duble	0	1	FALSE	1	5	FALSE	120	0	FALSE	blunt_melee												
wrench		200	2.8	2	Club	Tool			implicted_club	10 18 crit 2.00	blunt_single blunt_duble	0	1	FALSE	1	5	FALSE	105	0	FALSE	blunt_melee												
franch_baton		400	2	2	Club	Electric	BatteryCells	implicted_shockclub	battery_charge	12 16 crit 1.75	blunt_ammo_single blunt_ammo_duble	6	1	FALSE	1	5	FALSE	120	0	FALSE	tech_weapon												
civres_powerfist		400	0.4	2	Fist	Default	BatteryCells	implicted_club	battery_crafted_charge	24 36 crit 1.35	blunt_ammo_single blunt_ammo_triple	10	2	FALSE	1	0	FALSE	120	0	FALSE	tech_weapon												
moon_morgenshtern		800	4	2	Club	Default			implicted_club	26 40 crit 1.5	blunt_single blunt_heavy	0	1	FALSE	1	5	FALSE	120	0	FALSE	moon_weapon												
hatchet		200	2	2	Axe	Default			implicted_heavy_axe	14 32 crit 1.75	axe_single axe_heavy	0	1	FALSE	1	5	TRUE	120	0	FALSE	pierce_melee												
choppa_axe		100	3	2	Axe	Default			implicted_heavy_axe	12 30 crit 1.75	axe_single axe_heavy	0	1	FALSE	1	5	TRUE	120	0	FALSE	pierce_melee												
spec_hatchet		400	2.5	2	Axe	Default			implicted_heavy_axe	16 32 crit 2.00	axe_single axe_heavy	0	1	FALSE	1	5	TRUE	150	0	FALSE	pierce_melee												
sapper_shovel		200	3.5	2	Axe	Tool			implicted_heavy_axe	10 22 crit 2.25	axe_single axe_heavy	0	1	FALSE	1	5	TRUE	75	0	FALSE	pierce_melee												
bandit_axe		100	4	2	Axe	Default			implicted_heavy_axe	18 30 crit 2.10	axe_single axe_heavy	0	1	FALSE	1	5	TRUE	90	0	FALSE	pierce_melee												
azt_big_axe		400	4	2	Axe	Default			implicted_heavy_axe	30 48 crit 1.30	axe_single axe_heavy	0	1	FALSE	1	5	TRUE	120	0	FALSE	venus_weapon												
bandit_sawblade		600	4	2	Chainsaw	Default	Gas	implicted_sawblade	gas_ammo	28 40 crit 2.00	sawsword_single sawsword_heavy	10	1	FALSE	1	0	TRUE	45	0	FALSE	trash_weapon												
#end																																	
																																	
#rangeweapons																																	
Id		Price	Weight	InventoryWidthSize	WeaponClass	WeaponSubClass	RequiredAmmo	OverrideAmmo	DefaultAmmoId	DefaultGrenadeId	Damage	Firemodes	Range	MagazineCapacity	MinRandomAmmoCount	ReloadDuration	SilencerShotChance	ReloadOneClip	MaxDurability	MinDurabilityAfterRepair	Unbreakable	RepairCategory	AllowedGrenadeIds	IsSelfCharge									
miner_pistol		100	2	2	Pistol	Rail	Bolts		miner_bolts_ammo		10 16 crit 1.50	basic_pistol_single	3	10	5	3	0.9	FALSE	75	0	FALSE	engineering_weapon		FALSE									
army_pistol		100	2	2	Pistol	Firearm	Shells		shotgun_shrapnel_ammo		14 26 crit 1.50	basic_pistol_single basic_pistol_burst	2	4	2	1	0	TRUE	90	0	FALSE	weapon		FALSE									
army_pistol_2		200	2	2	Pistol	Firearm	Shells		shotgun_shrapnel_ammo		18 30 crit 1.50	basic_pistol_burst basic_pistol_shortauto	3	12	6	3	0	FALSE	105	0	FALSE	weapon		FALSE									
army_pistol_3		400	3	2	Pistol	Firearm	Shells		shotgun_shrapnel_ammo		22 32 crit 1.50	advanced_pistol_burst advanced_pistol_shortauto	3	12	6	3	0	FALSE	105	0	FALSE	weapon		FALSE									
army_pistol_4		400	3	2	Pistol	Firearm	Shells		shotgun_shrapnel_ammo		26 38 crit 1.60	advanced_pistol_burst advanced_pistol_shortauto	3	12	6	3	0	FALSE	120	0	FALSE	weapon		FALSE									
pmc_pistol		100	1	2	Pistol	Firearm	Medium		medium_basic_ammo		10 20 crit 1.70	basic_pistol_single basic_pistol_burst	4	8	4	2	0	FALSE	90	0	FALSE	weapon		FALSE									
pmc_pistol_2		100	2	2	Pistol	Firearm	Medium		medium_basic_ammo		12 20 crit 1.70	basic_pistol_single basic_pistol_burst	4	12	6	2	0.9	FALSE	105	0	FALSE	weapon		FALSE									
pmc_pistol_3		200	3	2	Pistol	Firearm	Medium		medium_basic_ammo		14 20 crit 1.70	basic_pistol_single basic_pistol_shortauto	5	24	12	3	0	FALSE	120	0	FALSE	weapon		FALSE									
spec_pistol		100	2	2	Pistol	Firearm	Bullets		pistol_basic_ammo		12 26 crit 1.60	basic_pistol_single basic_pistol_burst	4	14	7	2	0	FALSE	105	0	FALSE	weapon		FALSE									
spec_pistol_2		200	3	2	Pistol	Firearm	Bullets		pistol_basic_ammo		14 26 crit 1.60	advanced_pistol_single advanced_pistol_burst	4	14	7	2	0	FALSE	120	0	FALSE	weapon		FALSE									
spec_pistol_3		400	3	2	Pistol	Firearm	Bullets		pistol_basic_ammo		16 28 crit 1.60	advanced_pistol_single advanced_pistol_burst	5	14	7	2	0	FALSE	135	0	FALSE	weapon		FALSE									
spec_pistol_rv		600	3	2	Pistol	Firearm	Bullets		pistol_basic_ammo		30 36 crit 1.40	advanced_pistol_single advanced_pistol_burst	5	18	9	2	0	FALSE	165	0	FALSE	weapon		FALSE									
dark_pistol		100	3	2	Pistol	Firearm	Heavy		heavy_basic_ammo		14 28 crit 1.75	basic_pistol_single	5	6	3	1	0	TRUE	90	0	FALSE	weapon		FALSE									
dark_pistol_2		200	3	2	Pistol	Firearm	Heavy		heavy_basic_ammo		16 28 crit 1.75	basic_pistol_single	5	6	3	1	0	TRUE	105	0	FALSE	weapon		FALSE									
dark_pistol_3		400	3	2	Pistol	Firearm	Heavy		heavy_basic_ammo		18 28 crit 1.75	advanced_pistol_single	5	6	3	1	0	TRUE	120	0	FALSE	weapon		FALSE									
dark_pistol_4		600	3	2	Pistol	Firearm	Heavy		heavy_basic_ammo		20 28 crit 1.70	advanced_pistol_single	6	8	4	1	0	TRUE	135	0	FALSE	weapon		FALSE									
dark_pistol_5		600	4	2	Pistol	Firearm	Heavy		heavy_basic_ammo		24 32 crit 1.70	advanced_pistol_single	5	4	2	1	0	TRUE	135	0	FALSE	weapon		FALSE									
rail_pistol		200	1	2	Pistol	Rail			implicted_em_ammo		15 15 crit 1.50	basic_pistol_single	5	1	0	0	0.9	FALSE	60	0	FALSE	tech_weapon		FALSE									
rail_pistol_2		400	2	2	Pistol	Rail			implicted_em_ammo		18 18 crit 1.50	basic_pistol_single	5	1	0	0	0.9	FALSE	75	0	FALSE	tech_weapon		FALSE									
rail_pistol_3		600	3	2	Pistol	Rail			implicted_em_ammo		22 22 crit 1.50	basic_pistol_single	5	1	0	0	0.9	FALSE	90	0	FALSE	tech_weapon		FALSE									
tech_pistol		400	1	2	Pistol	Laser	BatteryCells		battery_charge		14 26 crit 1.60	basic_energy_pistol_single basic_energy_pistol_burst	5	4	2	2	0	FALSE	60	0	FALSE	tech_weapon		FALSE									
tech_pistol_2		400	1	2	Pistol	Laser	BatteryCells		battery_charge		22 32 crit 1.60	basic_energy_pistol_single basic_energy_pistol_burst	5	6	2	2	0	FALSE	75	0	FALSE	tech_weapon		FALSE									
petrov_pistol		100	1	2	Pistol	Firearm	Bullets		pistol_basic_ammo		10 22 crit 1.75	basic_pistol_single	3	6	3	2	0	FALSE	75	0	FALSE	weapon		FALSE									
petrov_pistol_2		200	1	2	Pistol	Firearm	Bullets		pistol_basic_ammo		14 26 crit 1.75	basic_pistol_single basic_pistol_shortauto	4	6	3	2	0.9	FALSE	90	0	FALSE	weapon		FALSE									
petrov_pistol_3		300	2	2	Pistol	Firearm	Bullets		pistol_basic_ammo		18 25 crit 1.75	basic_pistol_single basic_pistol_shortauto	4	6	3	2	0.9	FALSE	105	0	FALSE	weapon		FALSE									
civres_pistol		200	3	2	Pistol	Firearm	Bullets		pistol_basic_ammo		14 20 crit 1.50	basic_pistol_burst basic_pistol_shortauto	5	30	15	2	0	FALSE	75	0	FALSE	weapon		FALSE									
civres_pistol_2		100	1.5	2	Pistol	Firearm	Bullets		pistol_basic_ammo		12 16 crit 2.00	basic_pistol_single	4	6	5	2	0	FALSE	105	0	FALSE	weapon		FALSE									
civres_plasma_pistol		600	2.4	2	Pistol	Plasma	BatteryCells	implicted_plasma_charge	battery_charge		36 48 crit 2.00	plasma_energy_single plasma_energy_burst	4	6	2	1	0	TRUE	95	0	FALSE	weapon		FALSE									
core_nailgun		400	1.8	2	Pistol	Rail	Bolts		miner_bolts_ammo		12 20 crit 1.75	basic_pistol_single basic_pistol_shortauto	4	20	10	3	0.9	FALSE	105	0	FALSE	engineering_weapon		FALSE									
ancm_quasi_pistol		800	1.2	2	Pistol	Quasi	QuasiCells	implicted_shockgun	quasi_basic_ammo		14 24 crit 2.00	quasi_pistol_single quasi_pistol_burst	5	16	8	4	0	FALSE	90	0	FALSE	tech_weapon		FALSE									
sbn_pistol		800	0.8	2	Pistol	Rail			implicted_em_ammo		26 26 crit 1.75	advanced_pistol_single	6	1	0	0	0.9	FALSE	105	0	FALSE	tech_weapon		FALSE									
daydream_frostgun		800	0.9	2	Pistol	Coldgun	BatteryCells	implicted_coldgun	battery_charge		20 32 crit 1.50	advanced_energy_pistol_single	3	4	2	2	0	FALSE	75	0	FALSE	tech_weapon		FALSE									
gh_pistol		600	1.4	2	Pistol	Firearm	Heavy		heavy_basic_ammo		14 32 crit 2.00	advanced_pistol_single advanced_pistol_burst	4	4	2	1	0	TRUE	105	0	FALSE	weapon		FALSE									
sl_pistol		600	0.7	2	Pistol	Laser	BatteryCells		battery_charge		24 34 crit 1.50	advanced_energy_pistol_single advanced_energy_pistol_burst	5	8	4	3	0	FALSE	90	0	FALSE	tech_weapon		FALSE									
franch_pistol		400	1.1	2	Pistol	Firearm	Bullets		pistol_basic_ammo		26 32 crit 1.30	advanced_pistol_single advanced_pistol_burst	3	8	4	1	0	FALSE	90	0	FALSE	weapon		FALSE									
franch_shock_pistol		400	1.1	2	Pistol	Electric	BatteryCells	implicted_shockgun	battery_charge		12 20 crit 1.30	thunder_pistol_single	3	8	4	1	0	FALSE	90	0	FALSE	weapon		FALSE									
dilthey_sound_pistol_1		600	0.7	2	Pistol	Rail			implicted_em_blunt_ammo		14 22 crit 2.00	advanced_pistol_single	5	1	4	2	0	FALSE	100	0	FALSE	tech_weapon		FALSE									
dilthey_sound_pistol_2		800	0.7	2	Pistol	Rail			implicted_em_blunt_ammo		18 26 crit 2.25	advanced_pistol_single advanced_pistol_burst	5	1	4	3	0	FALSE	90	0	FALSE	tech_weapon		FALSE									
shedu_pistol		600	0.7	2	Pistol	Firearm	Shells		shotgun_shrapnel_ammo		16 26 crit 1.80	advanced_pistol_single advanced_pistol_burst	5	12	4	2	0	FALSE	60	0	FALSE	tech_weapon		FALSE									
azt_pistol		400	3	2	Pistol	Quasi	QuasiCells		quasi_basic_ammo		10 20 crit 1.75	quasi_pistol_single quasi_pistol_burst	2	8	4	2	0	FALSE	75	0	FALSE	venus_weapon		FALSE									
pmc_shotgun		200	3	2	Shotgun	Firearm	Shells		shotgun_shrapnel_ammo		20 50 crit 1.50	basic_shotgun_single basic_shotgun_burst	4	12	6	3	0	FALSE	135	0	FALSE	weapon		FALSE									
pmc_shotgun_2		400	4	2	Shotgun	Firearm	Shells		shotgun_shrapnel_ammo		22 54 crit 1.50	advanced_shotgun_single advanced_shotgun_burst	4	24	12	4	0	FALSE	150	0	FALSE	weapon		FALSE									
dark_shotgun		400	3	2	Shotgun	Firearm	Shells		shotgun_shrapnel_ammo		20 42 crit 1.50	basic_shotgun_single basic_shotgun_auto	4	12	6	3	0	FALSE	135	0	FALSE	weapon		FALSE									
dark_shotgun_2		600	4	2	Shotgun	Firearm	Shells		shotgun_shrapnel_ammo		22 48 crit 1.50	basic_shotgun_single basic_shotgun_auto	5	18	12	4	0	FALSE	150	0	FALSE	weapon		FALSE									
dark_shotgun_3		800	4	2	Shotgun	Firearm	Shells		shotgun_shrapnel_ammo		24 56 crit 1.50	advanced_shotgun_single advanced_shotgun_auto	5	24	12	4	0	FALSE	180	0	FALSE	weapon		FALSE									
desert_shotgun		200	3	2	Shotgun	Firearm	Shells		shotgun_shrapnel_ammo		20 38 crit 1.75	basic_shotgun_single	5	8	4	1	0	TRUE	120	0	FALSE	weapon		FALSE									
desert_shotgun_2		400	3	2	Shotgun	Firearm	Shells		shotgun_shrapnel_ammo		24 48 crit 1.75	advanced_shotgun_single	6	12	6	1	0	TRUE	135	0	FALSE	weapon		FALSE									
plazma_shotgun		800	5.2	2	Shotgun	Plasma	BatteryCells	implicted_plasma_shrapnel	battery_charge		24 60 crit 1.50	basic_energy_shotgun_single basic_energy_shotgun_burst	4	12	6	4	0	FALSE	120	0	FALSE	tech_weapon		FALSE									
spec_shotgun		600	2	2	Shotgun	Firearm	Shells		shotgun_shrapnel_ammo		28 64 crit 1.75	advanced_shotgun_single advanced_shotgun_duble	3	2	1	3	0	TRUE	150	0	FALSE	weapon		FALSE									
bandit_shotgun		200	2	2	Shotgun	Firearm	Shells		shotgun_shrapnel_ammo		16 28 crit 1.40	basic_shotgun_single	3	6	3	2	0	TRUE	75	0	FALSE	trash_weapon		FALSE									
franch_shotgun		1500	1.1	2	Shotgun	Firearm	Shells		shotgun_shrapnel_ammo		30 52 crit 1.50	advanced_shotgun_single advanced_shotgun_duble	3	12	4	4	0	FALSE	140	0	FALSE	weapon		FALSE									
church_shotgun		1400	4.8	2	Shotgun	Firearm	Shells		shotgun_shrapnel_ammo		30 60 crit 1.75	advanced_shotgun_single advanced_shotgun_auto	5	24	12	4	0	FALSE	180	0	FALSE	weapon		FALSE									
ancm_shotgun		800	2.9	2	Shotgun	Firearm	Shells		shotgun_shrapnel_ammo		26 64 crit 1.85	advanced_shotgun_single advanced_shotgun_auto	4	10	5	3	0	FALSE	180	0	FALSE	weapon		FALSE									
sbn_shotgun		1000	2.5	2	Shotgun	Rail			implicted_em_ammo		32 32 crit 1.35	advanced_energy_shotgun_single advanced_energy_shotgun_burst	4	1	0	0	0.9	FALSE	150	0	FALSE	tech_weapon		FALSE									
sl_shotgun		1000	5	2	Shotgun	Laser	BatteryCells		battery_charge		24 68 crit 1.70	advanced_energy_shotgun_single advanced_energy_shotgun_burst	4	16	8	4	0	FALSE	120	0	FALSE	tech_weapon		FALSE									
daydream_toxic_shotgun		1000	4.2	2	Shotgun	Toxic	Toxic	implicted_toxic_shrapnel	toxic_ammo		40 64 crit 1.70	advanced_shotgun_single advanced_shotgun_duble	4	10	8	3	0	FALSE	100	0	FALSE	tech_weapon		FALSE									
daydream_frost_shotgun		1500	5	2	Shotgun	Coldgun	BatteryCells	implicted_coldgun_shrapnel	battery_charge		40 72 crit 1.50	advanced_energy_shotgun_single advanced_energy_shotgun_burst	4	12	8	4	0	FALSE	120	0	FALSE	tech_weapon		FALSE									
dilthey_sound_shotgun		750	3.2	2	Shotgun	Rail			implicted_em_blunt_ammo		22 36 crit 1.70	advanced_shotgun_single advanced_shotgun_burst	4	1	8	2	0	FALSE	90	0	FALSE	tech_weapon		FALSE									
shedu_gas_shotgun		600	5	2	Shotgun	Firearm	Gas	implicted_plasma_shrapnel	gas_ammo		16 36 crit 1.70	advanced_energy_shotgun_single advanced_energy_shotgun_burst	4	16	8	4	0	FALSE	120	0	FALSE	tech_weapon		FALSE									
azt_shotgun		400	6	2	Shotgun	Quasi	QuasiCells		quasi_basic_ammo		16 38 crit 1.70	quasi_pistol_burst	2	6	4	4	0	FALSE	120	0	FALSE	venus_weapon		FALSE									
pmc_smg		200	2	2	Smg	Firearm	Bullets		pistol_basic_ammo		18 26 crit 1.50	basic_smg_shortauto basic_smg_single	4	16	8	2	0	FALSE	165	0	FALSE	weapon		FALSE									
pmc_smg_2		300	2	2	Smg	Firearm	Bullets		pistol_basic_ammo		20 28 crit 1.50	basic_smg_shortauto basic_smg_single	5	24	12	2	0	FALSE	180	0	FALSE	weapon		FALSE									
pmc_smg_3		400	2	2	Smg	Firearm	Bullets		pistol_basic_ammo		22 30 crit 1.50	advanced_smg_shortauto advanced_smg_auto	5	32	16	3	0	FALSE	210	0	FALSE	weapon		FALSE									
spec_smg		600	3	2	Smg	Firearm	Medium		medium_basic_ammo		14 36 crit 1.75	basic_smg_shortauto basic_smg_auto	5	24	12	2	0.25	FALSE	180	0	FALSE	weapon		FALSE									
mercury_smg		120	2	2	Smg	Quasi	QuasiCells	implicted_quasi_beam	quasi_basic_ammo		30 46 crit 1.50	advanced_energy_smg_shortauto	4	36	16	2	0	FALSE	120	0	FALSE	nothing		FALSE									
bandit_smg		200	3	2	Smg	Firearm	Shells		shotgun_shrapnel_ammo		12 26 crit 2.00	basic_shotgun_burst	3	16	8	3	0	FALSE	90	0	FALSE	trash_weapon		FALSE									
bandit_smg_2		400	3	2	Smg	Firearm	Shells		shotgun_shrapnel_ammo		16 30 crit 2.00	advanced_shotgun_burst	4	16	8	3	0	FALSE	180	0	FALSE	weapon		FALSE									
pirates_smg		300	3	2	Smg	Firearm	Shells		shotgun_shrapnel_ammo		12 24 crit 2.00	advanced_shotgun_burst	4	18	8	3	0	FALSE	150	0	FALSE	weapon		FALSE									
pirates_smg_2		600	3	2	Smg	Firearm	Medium		medium_basic_ammo		16 26 crit 2.00	advanced_smg_shortauto advanced_smg_single	4	24	8	3	0	FALSE	180	0	FALSE	weapon		FALSE									
tech_smg		600	2	2	Smg	Laser	BatteryCells		battery_charge		24 36 crit 1.40	basic_energy_smg_shortauto basic_energy_smg_single	5	12	6	3	0	FALSE	120	0	FALSE	tech_weapon		FALSE									
tech_pistol_3		500	2	2	Smg	Laser	BatteryCells		battery_charge		28 36 crit 1.40	basic_energy_smg_shortauto basic_energy_smg_single	6	6	2	4	0	FALSE	90	0	FALSE	tech_weapon		FALSE									
plazma_assault		800	4	2	Smg	Plasma	BatteryCells	implicted_plasma_charge	battery_charge		28 42 crit 1.50	basic_energy_smg_single	5	6	3	5	0	FALSE	75	0	FALSE	tech_weapon		FALSE									
spec_smg_rv		1500	3.5	2	Smg	Firearm	Medium		medium_basic_ammo		18 38 crit 1.80	advanced_smg_shortauto advanced_smg_auto	6	32	16	3	0.25	FALSE	270	0	FALSE	weapon		FALSE									
civres_smg		600	2.6	2	Smg	Firearm	Medium		medium_basic_ammo		16 22 crit 1.60	basic_smg_shortauto basic_smg_auto	4	20	10	2	0	FALSE	180	0	FALSE	weapon		FALSE									
civres_smg_2		600	2.6	2	Smg	Firearm	Bullets		pistol_basic_ammo		16 30 crit 1.60	basic_smg_shortauto basic_smg_auto	4	30	10	3	0	FALSE	140	0	FALSE	weapon		FALSE									
ancm_smg		1200	2.7	2	Smg	Firearm	Medium		medium_basic_ammo		20 32 crit 1.60	advanced_smg_shortauto advanced_smg_auto	5	40	20	3	0.25	FALSE	240	0	FALSE	weapon		FALSE									
grasshopper_smg		800	1.9	2	Smg	Firearm	Bullets		pistol_basic_ammo		18 26 crit 1.50	advanced_smg_shortauto advanced_smg_single	4	20	8	1	0	FALSE	150	0	FALSE	weapon		FALSE									
franch_smg		800	1.9	2	Smg	Firearm	Bullets		pistol_basic_ammo		20 30 crit 1.50	advanced_smg_shortauto advanced_smg_single	4	16	8	1	0	FALSE	210	0	FALSE	weapon		FALSE									
franch_smg_2		1000	1.1	2	Smg	Firearm	Bullets		pistol_basic_ammo		30 36 crit 1.30	advanced_smg_shortauto advanced_smg_single	4	30	4	3	0	FALSE	90	0	FALSE	weapon		FALSE									
franch_shock_smg		900	1.1	2	Smg	Electric	BatteryCells	implicted_shockgun	battery_charge		14 26 crit 1.30	thunder_rifle_shortauto	3	8	4	1	0	FALSE	90	0	FALSE	weapon		FALSE									
sbn_smg		1400	2.1	2	Smg	Rail			implicted_em_ammo		22 22 crit 1.50	advanced_energy_smg_shortauto advanced_energy_smg_auto	5	1	0	0	0.9	FALSE	180	0	FALSE	tech_weapon		FALSE									
dilthey_shock_smg		800	1.8	2	Smg	Electric	BatteryCells	implicted_shockgun	dilthye_battery_charge		16 24 crit 1.30	thunder_rifle_shortauto thunder_rifle_auto	5	16	8	3	0	FALSE	150	0	FALSE	tech_weapon		FALSE									
toxic_smg		400	2	2	Smg	Toxic	Toxic		toxic_ammo		16 32 crit 1.75	advanced_pistol_single	7	8	4	2	0.8	TRUE	75	0	FALSE	tech_weapon		FALSE									
pmc_assault		600	3	2	AssaultRifle	Firearm	Heavy		heavy_basic_ammo		18 36 crit 1.60	basic_rifle_shortauto basic_rifle_burst	6	24	12	4	0	FALSE	150	0	FALSE	weapon		FALSE									
spec_assault		1200	4	2	AssaultRifle	Firearm	Heavy		heavy_basic_ammo		20 40 crit 1.70	advanced_rifle_auto advanced_rifle_burst	5	24	12	4	0	FALSE	180	0	FALSE	weapon		FALSE									
spec_assault_rv		1800	4	2	AssaultRifle	Firearm	Heavy		heavy_basic_ammo		26 40 crit 1.70	advanced_rifle_auto advanced_rifle_burst	6	36	18	4	0	FALSE	210	0	FALSE	weapon		FALSE									
sbn_assault		2000	4	2	AssaultRifle	Rail			implicted_em_ammo		36 36 crit 1.90	advanced_rifle_burst advanced_rifle_shortauto	5	1	0	4	0	FALSE	210	0	FALSE	weapon		FALSE									
moon_assault		200	3	2	AssaultRifle	Quasi	Bolts		quasi_bolts_ammo		22 40 crit 1.50	advanced_rifle_burst	6	18	9	3	0.8	FALSE	90	0	FALSE	moon_weapon		FALSE									
bandit_assault		200	3	2	AssaultRifle	Firearm	Heavy		heavy_basic_ammo		16 28 crit 1.75	basic_rifle_shortauto basic_rifle_burst	5	30	15	4	0	FALSE	90	0	FALSE	trash_weapon		FALSE									
pirates_assault_1		800	3	2	AssaultRifle	Firearm	Heavy		heavy_basic_ammo		18 40 crit 1.75	basic_rifle_shortauto basic_rifle_burst	5	30	15	4	0	FALSE	90	0	FALSE	trash_weapon		FALSE									
pirates_assault_2		1000	3.4	2	AssaultRifle	Firearm	Heavy		heavy_basic_ammo		20 46 crit 1.75	basic_rifle_shortauto basic_rifle_burst	6	30	15	4	0	FALSE	90	0	FALSE	trash_weapon		FALSE									
desert_assault		600	3	2	AssaultRifle	Firearm	Heavy		heavy_basic_ammo		16 32 crit 1.75	basic_rifle_shortauto basic_rifle_burst	6	24	12	3	0	FALSE	135	0	FALSE	weapon		FALSE									
grasshopper_assault		1200	3.9	2	AssaultRifle	Firearm	Heavy		heavy_basic_ammo		20 30 crit 1.50	advanced_rifle_shortauto advanced_rifle_burst	4	16	8	2	0	FALSE	210	0	FALSE	weapon		FALSE									
civres_assault		800	3	2	AssaultRifle	Firearm	Heavy		heavy_basic_ammo		16 32 crit 1.75	basic_rifle_shortauto basic_rifle_burst	6	40	20	4	0	FALSE	135	0	FALSE	weapon		FALSE									
civres_plasma_assault		1200	3	2	AssaultRifle	Plasma	BatteryCells	implicted_plasma_charge	heavy_basic_ammo		20 36 crit 1.80	plasma_energy_burst plasma_energy_shortauto	4	4	2	1	0	TRUE	105	0	FALSE	weapon		FALSE									
ancm_quasi_assault		2000	4.2	2	AssaultRifle	Quasi	QuasiCells	implicted_shockgun	quasi_basic_ammo		20 34 crit 2.00	quasi_rifle_auto quasi_rifle_single	7	16	8	5	0	FALSE	120	0	FALSE	tech_weapon		FALSE									
sl_assault		1800	3.8	2	AssaultRifle	Laser	BatteryCells		battery_charge		26 38 crit 2.00	advanced_energy_rifle_auto advanced_energy_rifle_burst	7	16	8	5	0	FALSE	120	0	FALSE	tech_weapon		FALSE									
gh_assault		600	3.9	2	AssaultRifle	Firearm	Heavy		heavy_basic_ammo		24 38 crit 2.00	advanced_rifle_shortauto advanced_rifle_burst	5	30	15	3	0	FALSE	150	0	FALSE	weapon		FALSE									
franch_assault		1000	3.1	2	AssaultRifle	Firearm	Heavy		heavy_basic_ammo		22 42 crit 1.75	advanced_rifle_auto advanced_rifle_burst	6	18	9	2	0	FALSE	165	0	FALSE	weapon		FALSE									
