#meleeweapons																												
Id		Price	Weight	InventoryWidthSize	WeaponClass	WeaponSubClass	RequiredAmmo	OverrideAmmo	DefaultAmmoId	Damage	Firemodes	MagazineCapacity	ReloadDuration	ReloadOneClip	DurabilityLossOnThrow	ThrowRange	MeleeCanAmputate	MaxDurability	MinDurabilityAfterRepair	Unbreakable	RepairCategory							
breaker		300	5	2	Fist	Tool	Gas	implicted_club	gas_ammo	16 24 crit 2.00	blunt_breaker	20	3	FALSE	1	0	FALSE	105	0	FALSE	engineering_weapon							
crowbar		200	1	2	Club	Tool			implicted_club	14 22 crit 2.00	blunt_single blunt_duble	0	1	FALSE	1	5	FALSE	120	0	FALSE	blunt_melee							
wrench		200	2.8	2	Club	Tool			implicted_club	10 18 crit 2.00	blunt_single blunt_duble	0	1	FALSE	1	5	FALSE	105	0	FALSE	blunt_melee							
franch_baton		400	2	2	Club	Electric	BatteryCells	implicted_shockclub	battery_charge	12 16 crit 1.75	blunt_ammo_single blunt_ammo_duble	6	1	FALSE	1	5	FALSE	120	0	FALSE	tech_weapon							
civres_powerfist		400	0.4	2	Fist	Default	BatteryCells	implicted_club	battery_crafted_charge	24 36 crit 1.35	blunt_ammo_single blunt_ammo_triple	10	2	FALSE	1	0	FALSE	120	0	FALSE	tech_weapon							
moon_morgenshtern		800	4	2	Club	Default			implicted_club	26 40 crit 1.5	blunt_single blunt_heavy	0	1	FALSE	1	5	FALSE	120	0	FALSE	moon_weapon							
hatchet		200	2	2	Axe	Default			implicted_heavy_axe	14 32 crit 1.75	axe_single axe_heavy	0	1	FALSE	1	5	TRUE	120	0	FALSE	pierce_melee							
choppa_axe		100	3	2	Axe	Default			implicted_heavy_axe	12 30 crit 1.75	axe_single axe_heavy	0	1	FALSE	1	5	TRUE	120	0	FALSE	pierce_melee							
spec_hatchet		400	2.5	2	Axe	Default			implicted_heavy_axe	16 32 crit 2.00	axe_single axe_heavy	0	1	FALSE	1	5	TRUE	150	0	FALSE	pierce_melee							
sapper_shovel		200	3.5	2	Axe	Tool			implicted_heavy_axe	10 22 crit 2.25	axe_single axe_heavy	0	1	FALSE	1	5	TRUE	75	0	FALSE	pierce_melee							
bandit_axe		100	4	2	Axe	Default			implicted_heavy_axe	18 30 crit 2.10	axe_single axe_heavy	0	1	FALSE	1	5	TRUE	90	0	FALSE	pierce_melee							
azt_big_axe		400	4	2	Axe	Default			implicted_heavy_axe	30 48 crit 1.30	axe_single axe_heavy	0	1	FALSE	1	5	TRUE	120	0	FALSE	venus_weapon							
bandit_sawblade		600	4	2	Chainsaw	Default	Gas	implicted_sawblade	gas_ammo	28 40 crit 2.00	sawsword_single sawsword_heavy	10	1	FALSE	1	0	TRUE	45	0	FALSE	trash_weapon							
#end																												
																												
#rangeweapons																												
Id		Price	Weight	InventoryWidthSize	WeaponClass	WeaponSubClass	RequiredAmmo	OverrideAmmo	DefaultAmmoId	DefaultGrenadeId	Damage	Firemodes	Range	MagazineCapacity	MinRandomAmmoCount	ReloadDuration	SilencerShotChance	ReloadOneClip	MaxDurability	MinDurabilityAfterRepair	Unbreakable	RepairCategory	AllowedGrenadeIds	IsSelfCharge				
miner_pistol		100	2	2	Pistol	Rail	Bolts		miner_bolts_ammo		10 16 crit 1.50	basic_pistol_single	3	10	5	3	0.9	FALSE	75	0	FALSE	engineering_weapon		FALSE				
army_pistol		100	2	2	Pistol	Firearm	Shells		shotgun_shrapnel_ammo		12 32 crit 1.50	basic_pistol_single basic_pistol_burst	2	4	2	1	0	TRUE	90	0	FALSE	weapon		FALSE				
army_pistol_2		200	2	2	Pistol	Firearm	Shells		shotgun_shrapnel_ammo		14 34 crit 1.50	basic_pistol_burst basic_pistol_shortauto	3	12	6	3	0	FALSE	105	0	FALSE	weapon		FALSE				
army_pistol_3		400	3	2	Pistol	Firearm	Shells		shotgun_shrapnel_ammo		16 36 crit 1.50	advanced_pistol_burst advanced_pistol_shortauto	3	12	6	3	0	FALSE	105	0	FALSE	weapon		FALSE				
army_pistol_4		400	3	2	Pistol	Firearm	Shells		shotgun_shrapnel_ammo		20 40 crit 1.60	advanced_pistol_burst advanced_pistol_shortauto	3	12	6	3	0	FALSE	120	0	FALSE	weapon		FALSE				
pmc_pistol		100	1	2	Pistol	Firearm	Medium		medium_basic_ammo		10 20 crit 1.70	basic_pistol_single basic_pistol_burst	4	8	4	2	0	FALSE	90	0	FALSE	weapon		FALSE				
pmc_pistol_2		100	2	2	Pistol	Firearm	Medium		medium_basic_ammo		12 20 crit 1.70	basic_pistol_single basic_pistol_burst	4	12	6	2	0.9	FALSE	105	0	FALSE	weapon		FALSE				
pmc_pistol_3		200	3	2	Pistol	Firearm	Medium		medium_basic_ammo		14 20 crit 1.70	basic_pistol_single basic_pistol_shortauto	5	24	12	3	0	FALSE	120	0	FALSE	weapon		FALSE				
spec_pistol		100	2	2	Pistol	Firearm	Bullets		pistol_basic_ammo		12 26 crit 1.60	basic_pistol_single basic_pistol_burst	4	14	7	2	0	FALSE	105	0	FALSE	weapon		FALSE				
spec_pistol_2		200	3	2	Pistol	Firearm	Bullets		pistol_basic_ammo		14 26 crit 1.60	advanced_pistol_single advanced_pistol_burst	4	14	7	2	0	FALSE	120	0	FALSE	weapon		FALSE				
spec_pistol_3		400	3	2	Pistol	Firearm	Bullets		pistol_basic_ammo		16 28 crit 1.60	advanced_pistol_single advanced_pistol_burst	5	14	7	2	0	FALSE	135	0	FALSE	weapon		FALSE				
spec_pistol_rv		600	3	2	Pistol	Firearm	Bullets		pistol_basic_ammo		30 36 crit 1.40	advanced_pistol_single advanced_pistol_burst	5	18	9	2	0	FALSE	165	0	FALSE	weapon		FALSE				
dark_pistol		100	3	2	Pistol	Firearm	Heavy		heavy_basic_ammo		14 28 crit 1.75	basic_pistol_single	5	6	3	1	0	TRUE	90	0	FALSE	weapon		FALSE				
dark_pistol_2		200	3	2	Pistol	Firearm	Heavy		heavy_basic_ammo		16 28 crit 1.75	basic_pistol_single	5	6	3	1	0	TRUE	105	0	FALSE	weapon		FALSE				
dark_pistol_3		400	3	2	Pistol	Firearm	Heavy		heavy_basic_ammo		18 28 crit 1.75	advanced_pistol_single	5	6	3	1	0	TRUE	120	0	FALSE	weapon		FALSE				
dark_pistol_4		600	3	2	Pistol	Firearm	Heavy		heavy_basic_ammo		20 28 crit 1.70	advanced_pistol_single	6	8	4	1	0	TRUE	135	0	FALSE	weapon		FALSE				
dark_pistol_5		600	4	2	Pistol	Firearm	Heavy		heavy_basic_ammo		24 32 crit 1.70	advanced_pistol_single	5	4	2	1	0	TRUE	135	0	FALSE	weapon		FALSE				
rail_pistol		200	1	2	Pistol	Rail			implicted_em_ammo		20 20 crit 1.75	basic_pistol_single	5	1	0	0	0.9	FALSE	60	0	FALSE	tech_weapon		FALSE				
rail_pistol_2		400	2	2	Pistol	Rail			implicted_em_ammo		22 22 crit 1.75	basic_pistol_single	5	1	0	0	0.9	FALSE	75	0	FALSE	tech_weapon		FALSE				
rail_pistol_3		600	3	2	Pistol	Rail			implicted_em_ammo		24 24 crit 1.75	basic_pistol_single	5	1	0	0	0.9	FALSE	90	0	FALSE	tech_weapon		FALSE				
tech_pistol		400	1	2	Pistol	Laser	BatteryCells		battery_charge		24 36 crit 1.60	basic_energy_pistol_single basic_energy_pistol_burst	5	4	2	2	0	FALSE	60	0	FALSE	tech_weapon		FALSE				
tech_pistol_2		400	1	2	Pistol	Laser	BatteryCells		battery_charge		26 36 crit 1.60	basic_energy_pistol_single basic_energy_pistol_burst	5	6	2	2	0	FALSE	75	0	FALSE	tech_weapon		FALSE				
petrov_pistol		100	1	2	Pistol	Firearm	Bullets		pistol_basic_ammo		10 22 crit 1.75	basic_pistol_single	3	6	3	2	0	FALSE	75	0	FALSE	weapon		FALSE				
petrov_pistol_2		200	1	2	Pistol	Firearm	Bullets		pistol_basic_ammo		14 26 crit 1.75	basic_pistol_single basic_pistol_shortauto	4	6	3	2	0.9	FALSE	90	0	FALSE	weapon		FALSE				
petrov_pistol_3		300	2	2	Pistol	Firearm	Bullets		pistol_basic_ammo		18 30 crit 1.75	basic_pistol_single basic_pistol_shortauto	4	6	3	2	0.9	FALSE	105	0	FALSE	weapon		FALSE				
civres_pistol		200	3	2	Pistol	Firearm	Bullets		pistol_basic_ammo		14 20 crit 1.50	basic_pistol_burst basic_pistol_shortauto	5	30	15	2	0	FALSE	75	0	FALSE	weapon		FALSE				
civres_pistol_2		100	1.5	2	Pistol	Firearm	Bullets		pistol_basic_ammo		12 16 crit 2.00	basic_pistol_single	4	6	5	2	0	FALSE	105	0	FALSE	weapon		FALSE				
core_nailgun		400	1.8	2	Pistol	Rail	Bolts		miner_bolts_ammo		12 20 crit 1.75	basic_pistol_single basic_pistol_shortauto	4	20	10	3	0.9	FALSE	105	0	FALSE	engineering_weapon		FALSE				
ancm_quasi_pistol		800	1.2	2	Pistol	Quasi	QuasiCells	implicted_shockgun	quasi_basic_ammo		14 24 crit 2.00	quasi_pistol_single quasi_pistol_burst	5	16	8	4	0	FALSE	90	0	FALSE	tech_weapon		FALSE				
sbn_pistol		800	0.8	2	Pistol	Rail			implicted_em_ammo		26 26 crit 1.75	advanced_pistol_single	6	1	0	0	0.9	FALSE	105	0	FALSE	tech_weapon		FALSE				
daydream_frostgun		800	0.9	2	Pistol	Coldgun	BatteryCells	implicted_coldgun	battery_charge		30 50 crit 1.50	advanced_energy_pistol_single	3	4	2	2	0	FALSE	75	0	FALSE	tech_weapon		FALSE				
gh_pistol		600	1.4	2	Pistol	Firearm	Heavy		heavy_basic_ammo		14 32 crit 2.00	advanced_pistol_single advanced_pistol_burst	4	4	2	1	0	TRUE	105	0	FALSE	weapon		FALSE				
sl_pistol		600	0.7	2	Pistol	Laser	BatteryCells		battery_charge		24 34 crit 1.50	advanced_energy_pistol_single advanced_energy_pistol_burst	5	8	4	3	0	FALSE	90	0	FALSE	tech_weapon		FALSE				
franch_pistol		400	1.1	2	Pistol	Firearm	Bullets		pistol_basic_ammo		26 32 crit 1.30	advanced_pistol_single advanced_pistol_burst	3	8	4	1	0	FALSE	90	0	FALSE	weapon		FALSE				
azt_pistol		800	3	2	Pistol	Quasi	QuasiCells		quasi_basic_ammo		10 20 crit 1.75	quasi_pistol_single quasi_pistol_burst	2	8	4	2	0	FALSE	75	0	FALSE	venus_weapon		FALSE				
pmc_shotgun		200	3	2	Shotgun	Firearm	Shells		shotgun_shrapnel_ammo		20 50 crit 1.50	basic_shotgun_single basic_shotgun_burst	4	12	6	3	0	FALSE	135	0	FALSE	weapon		FALSE				
pmc_shotgun_2		400	4	2	Shotgun	Firearm	Shells		shotgun_shrapnel_ammo		22 54 crit 1.50	advanced_shotgun_single advanced_shotgun_burst	4	24	12	4	0	FALSE	150	0	FALSE	weapon		FALSE				
dark_shotgun		400	3	2	Shotgun	Firearm	Shells		shotgun_shrapnel_ammo		20 52 crit 1.50	basic_shotgun_single basic_shotgun_auto	4	12	6	3	0	FALSE	135	0	FALSE	weapon		FALSE				
dark_shotgun_2		600	4	2	Shotgun	Firearm	Shells		shotgun_shrapnel_ammo		22 54 crit 1.50	basic_shotgun_single basic_shotgun_auto	5	24	12	4	0	FALSE	150	0	FALSE	weapon		FALSE				
dark_shotgun_3		800	4	2	Shotgun	Firearm	Shells		shotgun_shrapnel_ammo		24 56 crit 1.50	advanced_shotgun_single advanced_shotgun_auto	5	24	12	4	0	FALSE	180	0	FALSE	weapon		FALSE				
desert_shotgun		200	3	2	Shotgun	Firearm	Shells		shotgun_shrapnel_ammo		20 44 crit 1.75	basic_shotgun_single	5	8	4	1	0	TRUE	120	0	FALSE	weapon		FALSE				
desert_shotgun_2		400	3	2	Shotgun	Firearm	Shells		shotgun_shrapnel_ammo		24 48 crit 1.75	advanced_shotgun_single	5	12	6	1	0	TRUE	135	0	FALSE	weapon		FALSE				
plazma_shotgun		800	5.2	2	Shotgun	Plasma	BatteryCells	implicted_plasma_shrapnel	battery_charge		24 72 crit 1.50	basic_energy_shotgun_single basic_energy_shotgun_burst	4	12	6	4	0	FALSE	120	0	FALSE	tech_weapon		FALSE				
spec_shotgun		600	2	2	Shotgun	Firearm	Shells		shotgun_shrapnel_ammo		28 64 crit 1.75	advanced_shotgun_single advanced_shotgun_duble	3	2	1	3	0	TRUE	150	0	FALSE	weapon		FALSE				
bandit_shotgun		200	2	2	Shotgun	Firearm	Shells		shotgun_shrapnel_ammo		16 36 crit 1.40	basic_shotgun_single	3	6	3	2	0	TRUE	75	0	FALSE	trash_weapon		FALSE				
church_shotgun		1400	4.8	2	Shotgun	Firearm	Shells		shotgun_shrapnel_ammo		30 60 crit 1.75	advanced_shotgun_single advanced_shotgun_auto	5	24	12	4	0	FALSE	180	0	FALSE	weapon		FALSE				
ancm_shotgun		800	2.9	2	Shotgun	Firearm	Shells		shotgun_shrapnel_ammo		26 64 crit 1.85	advanced_shotgun_single advanced_shotgun_auto	4	10	5	3	0	FALSE	180	0	FALSE	weapon		FALSE				
sbn_shotgun		1000	2.5	2	Shotgun	Rail			implicted_em_ammo		32 32 crit 1.35	advanced_energy_shotgun_single advanced_energy_shotgun_burst	4	1	0	0	0.9	FALSE	150	0	FALSE	tech_weapon		FALSE				
sl_shotgun		1000	5	2	Shotgun	Laser	BatteryCells		battery_charge		24 68 crit 1.70	advanced_energy_shotgun_single advanced_energy_shotgun_burst	4	16	8	4	0	FALSE	120	0	FALSE	tech_weapon		FALSE				
azt_shotgun		100	6	2	Shotgun	Quasi	QuasiCells		quasi_basic_ammo		16 38 crit 1.70	quasi_pistol_burst	2	6	4	4	0	FALSE	120	0	FALSE	venus_weapon		FALSE				
pmc_smg		200	2	2	Smg	Firearm	Bullets		pistol_basic_ammo		20 28 crit 1.50	basic_smg_shortauto basic_smg_single	4	16	8	2	0	FALSE	165	0	FALSE	weapon		FALSE				
pmc_smg_2		300	2	2	Smg	Firearm	Bullets		pistol_basic_ammo		22 30 crit 1.50	basic_smg_shortauto basic_smg_single	5	24	12	2	0	FALSE	180	0	FALSE	weapon		FALSE				
pmc_smg_3		400	2	2	Smg	Firearm	Bullets		pistol_basic_ammo		24 32 crit 1.50	advanced_smg_shortauto advanced_smg_auto	5	32	16	3	0	FALSE	210	0	FALSE	weapon		FALSE				
spec_smg		600	3	2	Smg	Firearm	Medium		medium_basic_ammo		14 36 crit 1.75	basic_smg_shortauto basic_smg_auto	5	24	12	2	0.25	FALSE	180	0	FALSE	weapon		FALSE				
mercury_smg		120	2	2	Smg	Quasi	QuasiCells	implicted_quasi_beam	quasi_basic_ammo		30 46 crit 1.50	advanced_energy_smg_shortauto	4	36	16	2	0	FALSE	120	0	FALSE	nothing		FALSE				
bandit_smg		200	3	2	Smg	Firearm	Shells		shotgun_shrapnel_ammo		12 36 crit 2.00	basic_shotgun_burst	3	16	8	3	0	FALSE	90	0	FALSE	trash_weapon		FALSE				
bandit_smg_2		400	3	2	Smg	Firearm	Shells		shotgun_shrapnel_ammo		16 40 crit 2.00	advanced_shotgun_burst	4	16	8	3	0	FALSE	180	0	FALSE	weapon		FALSE				
tech_smg		600	2	2	Smg	Laser	BatteryCells		battery_charge		24 36 crit 1.40	basic_energy_smg_shortauto basic_energy_smg_single	5	12	6	3	0	FALSE	120	0	FALSE	tech_weapon		FALSE				
tech_pistol_3		500	2	2	Smg	Laser	BatteryCells		battery_charge		28 36 crit 1.40	basic_energy_smg_shortauto basic_energy_smg_single	6	4	2	4	0	FALSE	90	0	FALSE	tech_weapon		FALSE				
plazma_assault		800	4	2	Smg	Plasma	BatteryCells	implicted_plasma_charge	battery_charge		28 42 crit 1.50	basic_energy_smg_single	5	6	3	5	0	FALSE	75	0	FALSE	tech_weapon		FALSE				
spec_smg_rv		1500	3.5	2	Smg	Firearm	Medium		medium_basic_ammo		18 38 crit 1.80	advanced_smg_shortauto advanced_smg_auto	6	32	16	3	0.25	FALSE	270	0	FALSE	weapon		FALSE				
civres_smg		600	2.6	2	Smg	Firearm	Medium		medium_basic_ammo		16 22 crit 1.60	basic_smg_shortauto basic_smg_auto	4	20	10	2	0	FALSE	180	0	FALSE	weapon		FALSE				
ancm_smg		1200	2.7	2	Smg	Firearm	Medium		medium_basic_ammo		20 32 crit 1.60	advanced_smg_shortauto advanced_smg_auto	5	40	20	3	0.25	FALSE	240	0	FALSE	weapon		FALSE				
franch_smg		800	1.9	2	Smg	Firearm	Bullets		pistol_basic_ammo		20 30 crit 1.50	advanced_smg_shortauto advanced_smg_single	4	16	8	1	0	FALSE	210	0	FALSE	weapon		FALSE				
sbn_smg		1400	2.1	2	Smg	Rail			implicted_em_ammo		22 22 crit 1.50	advanced_energy_smg_shortauto advanced_energy_smg_auto	5	1	0	0	0.9	FALSE	180	0	FALSE	tech_weapon		FALSE				
toxic_smg		400	2	2	Smg	Toxic	Toxic		toxic_ammo		16 32 crit 1.75	advanced_pistol_single	7	8	4	2	0.8	TRUE	75	0	FALSE	tech_weapon		FALSE				
pmc_assault		600	3	2	AssaultRifle	Firearm	Heavy		heavy_basic_ammo		18 36 crit 1.60	basic_rifle_shortauto basic_rifle_burst	6	24	12	4	0	FALSE	150	0	FALSE	weapon		FALSE				
spec_assault		1200	4	2	AssaultRifle	Firearm	Heavy		heavy_basic_ammo		20 40 crit 1.70	advanced_rifle_auto advanced_rifle_burst	5	24	12	4	0	FALSE	180	0	FALSE	weapon		FALSE				
spec_assault_rv		1800	4	2	AssaultRifle	Firearm	Heavy		heavy_basic_ammo		26 40 crit 1.70	advanced_rifle_auto advanced_rifle_burst	6	36	18	4	0	FALSE	210	0	FALSE	weapon		FALSE				
moon_assault		200	3	2	AssaultRifle	Quasi	Bolts		quasi_bolts_ammo		22 40 crit 1.50	advanced_rifle_burst	6	18	9	3	0.8	FALSE	90	0	FALSE	moon_weapon		FALSE				
bandit_assault		200	3	2	AssaultRifle	Firearm	Heavy		heavy_basic_ammo		14 28 crit 1.75	basic_rifle_shortauto basic_rifle_burst	5	30	15	4	0	FALSE	90	0	FALSE	trash_weapon		FALSE				
desert_assault		600	3	2	AssaultRifle	Firearm	Heavy		heavy_basic_ammo		16 32 crit 1.75	basic_rifle_shortauto basic_rifle_burst	6	24	12	3	0	FALSE	135	0	FALSE	weapon		FALSE				
civres_assault		800	3	2	AssaultRifle	Firearm	Heavy		heavy_basic_ammo		16 32 crit 1.75	basic_rifle_shortauto basic_rifle_burst	6	40	20	4	0	FALSE	135	0	FALSE	weapon		FALSE				
ancm_quasi_assault		2000	4.2	2	AssaultRifle	Quasi	QuasiCells	implicted_shockgun	quasi_basic_ammo		20 34 crit 2.00	quasi_rifle_auto quasi_rifle_single	7	16	8	5	0	FALSE	120	0	FALSE	tech_weapon		FALSE				
gh_assault		600	3.9	2	AssaultRifle	Firearm	Heavy		heavy_basic_ammo		14 34 crit 2.00	advanced_rifle_shortauto advanced_rifle_burst	5	30	15	3	0	FALSE	150	0	FALSE	weapon		FALSE				
franch_assault		1000	3.1	2	AssaultRifle	Firearm	Heavy		heavy_basic_ammo		22 42 crit 1.75	advanced_rifle_auto advanced_rifle_burst	6	18	9	2	0	FALSE	165	0	FALSE	weapon		FALSE				
plazma_smg		1600	3	2	AssaultRifle	Plasma	BatteryCells	implicted_plasma_charge	battery_charge		28 42 crit 1.50	basic_energy_rifle_shortauto basic_energy_rifle_burst	5	24	12	4	0	FALSE	120	0	FALSE	tech_weapon		FALSE				
army_sniper		1200	4	2	MarksmanRifle	Firearm	Heavy		heavy_basic_ammo		28 50 crit 2.00	basic_rifle_single	8	6	3	5	0	FALSE	75	0	FALSE	weapon		FALSE				
army_sniper_2		1800	4	2	MarksmanRifle	Firearm	Heavy		heavy_basic_ammo		32 56 crit 2.50	advanced_rifle_single	9	8	4	4	0	FALSE	90	0	FALSE	weapon		FALSE				
desert_marksman		600	3	2	MarksmanRifle	Firearm	Heavy		heavy_basic_ammo		20 40 crit 2.35	basic_rifle_single basic_rifle_burst	7	2	1	2	0	TRUE	75	0	FALSE	weapon		FALSE				
desert_marksman_2		800	3	2	MarksmanRifle	Firearm	Heavy		heavy_basic_ammo		26 40 crit 2.50	advanced_rifle_single advanced_rifle_burst	8	4	2	2	0	TRUE	90	0	FALSE	weapon		FALSE				
tech_marksman		1800	4	2	MarksmanRifle	Laser	BatteryCells		battery_charge		38 56 crit 2.50	basic_energy_rifle_single	9	6	3	5	0.15	FALSE	60	0	FALSE	tech_weapon		FALSE				
tech_rifle		1600	4	2	MarksmanRifle	Laser	BatteryCells		battery_charge		24 36 crit 2.25	basic_energy_rifle_single basic_energy_rifle_burst	7	10	5	5	0	FALSE	75	0	FALSE	tech_weapon		FALSE				
civres_marksman		1200	3.7	2	MarksmanRifle	Firearm	Medium		medium_basic_ammo		22 34 crit 2.30	basic_rifle_single basic_rifle_burst	6	10	5	3	0	FALSE	90	0	FALSE	weapon		FALSE				
ancm_marksman		1400	4.5	2	MarksmanRifle	Firearm	Medium		medium_basic_ammo		38 60 crit 2.25	advanced_rifle_single advanced_rifle_burst	8	5	3	4	0	FALSE	105	0	FALSE	weapon		FALSE				
rail_rifle		1400	3.2	2	MarksmanRifle	Rail			implicted_em_ammo		40 40 crit 2.00	basic_rifle_single	7	1	0	1	0.9	FALSE	75	0	FALSE	tech_weapon		FALSE				
gh_marksman		1200	4.1	2	MarksmanRifle	Firearm	Heavy		heavy_basic_ammo		28 42 crit 2.35	advanced_rifle_single advanced_rifle_burst	7	6	3	1	0	TRUE	105	0	FALSE	weapon		FALSE				
sl_sniper		1800	5.8	2	MarksmanRifle	Laser	BatteryCells		battery_charge		40 60 crit 2.00	advanced_energy_rifle_single advanced_energy_rifle_burst	9	10	5	6	0.15	FALSE	75	0	FALSE	tech_weapon		FALSE				
azt_rifle		200	4	2	MarksmanRifle	Quasi	QuasiCells		quasi_basic_ammo		16 32 crit 2.00	quasi_rifle_shortauto quasi_rifle_single	5	12	6	5	0	FALSE	90	0	FALSE	venus_weapon		FALSE				
moon_crossbow		300	4	2	MarksmanRifle	Quasi	Bolts		quasi_bolts_ammo		36 72 crit 1.60	basic_rifle_single	6	1	1	4	0.8	FALSE	75	0	FALSE	moon_weapon		FALSE				
mercury_staff		300	4	2	MarksmanRifle	Quasi	QuasiCells	implicted_quasi_beam	quasi_basic_ammo		38 76 crit 2.50	advanced_energy_rifle_single	6	1	1	5	0	FALSE	75	0	FALSE	nothing		FALSE				
miner_mg		600	4	2	Machinegun	Rail	Bolts		miner_bolts_ammo		8 16 crit 1.80	basic_machinegun_auto basic_machinegun_shortauto	5	80	40	5	0.5	FALSE	150	0	FALSE	engineering_weapon		FALSE				
core_nailmachinegun		800	5.1	2	Machinegun	Rail	Bolts		miner_bolts_ammo		12 20 crit 1.80	advanced_machinegun_auto advanced_machinegun_shortauto	6	80	40	6	0.5	FALSE	225	0	FALSE	engineering_weapon		FALSE				
core_laser		1200	6.2	2	Machinegun	Laser			battery_charge		32 42 crit 1.50	basic_energy_rifle_single	7	1	0	3	0	FALSE	120	0	FALSE	engineering_weapon		TRUE				
desert_hmg		1600	5	2	Machinegun	Firearm	Heavy		heavy_basic_ammo		14 42 crit 1.80	basic_machinegun_auto basic_machinegun_longauto	5	52	26	6	0	FALSE	300	0	FALSE	weapon		FALSE				
plazma_hmg		2000	5	2	Machinegun	Plasma	BatteryCells	implicted_plasma_charge	battery_charge		32 60 crit 1.70	basic_energy_machinegun_auto basic_energy_machinegun_shortauto	5	48	24	6	0	FALSE	150	0	FALSE	tech_weapon		FALSE				
tezctlan_spear		9000	5	2	Machinegun	Quasi	QuasiCells		quasi_basic_ammo		80 92 crit 2.00	tezktlan_spear_auto	8	35	7	6	0	FALSE	150	0	TRUE	venus_weapon		FALSE				
spec_hmg		2500	6	2	Minigun	Firearm	Heavy		heavy_basic_ammo		14 42 crit 1.80	advanced_machinegun_auto advanced_machinegun_longauto	5	80	40	6	0	FALSE	375	0	FALSE	weapon		FALSE				
pb_shockgun		3000	6.5	2	Minigun	Electric	BatteryCells	implicted_shockgun	battery_charge		26 36 crit 1.50	thunder_rifle_shortauto thunder_rifle_auto	6	60	30	6	0	FALSE	180	0	FALSE	tech_weapon		FALSE				
tech_hfg		4000	6	2	HFG	Laser	BatteryCells		battery_charge		80 100 crit 2.00	energy_hfg_single	10	40	20	6	0	FALSE	60	0	FALSE	tech_weapon		FALSE				
