ui.label.amputate_corpse_slots	Ампутировать все						
ui.label.upgrade	Улучшить						
ui.label.no_device	нет устройства						
ui.label.installed	Установлен						
ui.label.available	Доступно						
ui.label.not_available	Недоступно						
ui.label.blocked	Заблокирован						
ui.label.standalone	Автономный						
ui.label.damaged	Повреждено						
ui.label.status_tradebreak	Торговый разрыв						
ui.label.passive_perks	Пассивные перки						
ui.label.trigger_perks	Перки-триггеры						
ui.label.weapon_trait	Свойство оружия						
ui.label.no_projects_available	Нет доступных проектов						
ui.label.no_operators_available	Нет доступных оперативников						
ui.label.cloning	Клонирование в процессе						
ui.label.healing	Лечение в процессе						
ui.label.training	Тренировка в процессе						
ui.label.no_items	Пустой рюкзак						
ui.label.usable_limits	Работает с:						
ui.label.rank_levelup_limit_reached	Достигнут лимит повышения ранга						
ui.label.rank_levelup_after_raid	Ранг оперативника повышен						
ui.label.require_battle_cond	Нужен конденсатор опыта для повышения ранга						
ui.label.callcapsule	Вызвать капсулу						
ui.label.timeSuffixPM	PM						
ui.label.timeSuffixAM	AM						
ui.label.no_trade_items_available	Нет доступных предметов						
ui.label.buy	купить						
ui.label.sell	продать						
ui.label.discount	скидка						
ui.label.extracharge	наценка						
ui.label.low_reputation	низкая репутация						
ui.label.customize	тонкая настройка						
ui.label.all_perk_types	все						
ui.label.active_contracts	Активные контракты						
ui.label.faction_strategy	Стратегия фракции						
ui.label.selected_strategy	Текущая принятая стратегия						
ui.label.difficulty	Сложность						
ui.label.combat	Боевое						
ui.label.general	Общее						
ui.label.sandbox	Песочница						
ui.label.independent	Независимая						
ui.label.faction_assets	Активы фракции						
ui.label.faction_assets_shortdesc	Владения в собственности фракции						
ui.label.faction_diplomacy	Дипломатия фракции						
ui.label.faction_diplomacy_shortdesc	Отношения с другими фракциями						
ui.label.no_information	Нет информации						
ui.label.faction_relations	Отношения с фракцией						
ui.label.reputation_level	Уровень репутации						
ui.label.faction_techs	Технологии фракции						
ui.label.faction_techs_shortdesc	Научное развитие						
ui.label.faction_power	Сила фракции						
ui.label.faction_power_shortdesc	Проекция мощи станций						
ui.label.info	Инфо						
ui.label.military_operation	Военная операция						
ui.label.swap_mission_side	Сменить сторону						
ui.label.peacemissionname	Мирное посещение						
ui.label.weapons	оружие						
ui.label.reclonning	Реклонирование						
ui.difficulty.EnemyHealth	Здоровье врагов						
ui.difficulty.DeathGift	Спасательный набор						
ui.difficulty.EvacRules	Правила эвакуации						
ui.difficulty.EvacRules.free_evac	Свободная						
ui.difficulty.EvacRules.chip_evac	Получение чипа						
ui.difficulty.EvacRules.mission_evac	Выполнение миссии						
ui.difficulty.Autosave	Перезапуск этажа при смерти						
ui.difficulty.RevivePenalty	Клонирование						
ui.difficulty.RevivePenalty.no_penalty	Мгновенно						
ui.difficulty.RevivePenalty.new_clone	Требует времени						
ui.difficulty.RevivePenalty.lose_chip	Нужен чип						
ui.difficulty.DropPenalty	Вещи при смерти						
ui.difficulty.DropPenalty.none	Не теряются						
ui.difficulty.DropPenalty.bag	Только рюкзак						
ui.difficulty.DropPenalty.full	Все						
ui.difficulty.LosePerks	Теряет опыт при смерти						
ui.difficulty.LoseRank	Теряет ранг при смерти						
ui.difficulty.ExpMult	Опыт до ур. перка						
ui.difficulty.StartingEquip	Стартовые предметы						
ui.difficulty.StartingEquip.none	Нет						
ui.difficulty.StartingEquip.low	Мало						
ui.difficulty.StartingEquip.normal	Нормально						
ui.difficulty.StartingEquip.high	Много						
ui.difficulty.FactionGrowthSpeed	Рост фракций						
ui.difficulty.FactionReputation	Репутация с фракциями						
ui.difficulty.MissionRewardPoints	Очки награды миссий						
ui.difficulty.BarterValue	Дигнитас за продажу						
ui.difficulty.MonsterPoints	Количество врагов						
ui.difficulty.ItemPoints	Количество предметов						
ui.difficulty.EnemyLos	Обзор врагов						
ui.difficulty.EnemyDamageMult	Урон врагов						
ui.difficulty.EnemyResistance	Резисты врагов						
ui.difficulty.QmorphLevelGrowth	Рост Квазиморфоза						
ui.difficulty.QmorphStatsAffect	Влияние Квазиморфоза						
ui.difficulty.EnemyActionPoint	ОД врагов						
ui.difficulty.MagnumCraftingTime	Скорость крафта						
ui.difficulty.StartingMercCount	Стартовые наемники						
ui.difficulty.StartingClassesCount	Стартовые классы						
ui.difficulty.RndMercsAtStart	Случайные стартовые наемники						
ui.difficulty.RndClassesAtStart	Случайные стартовые классы						
ui.difficulty.RndStartingEquip	Случайные стартовые предметы						
ui.difficulty.EquipRepairAfterMission	Починка предметов после миссий						
ui.difficulty.SmoothProgression	Кривая сложности						
ui.difficulty.Tutorial	Обучение						
ui.difficulty.RndStartLocation	Случайная стартовая локация						
ui.difficulty.Easy.name	Легко						
ui.difficulty.Normal.name	Нормально						
ui.difficulty.Hard.name	Нечестно						
ui.difficulty.Custom.name	Пользовательский						
ui.difficulty.Easy.desc	Эвакуация в любой момент<br><br>Слабые противники<br><br>Повышенные награды<br><br>Автосохранение на каждом этаже<br><br>						
ui.difficulty.Normal.desc	Стандартные параметры игры						
ui.difficulty.Hard.desc	Фракции ненавидят вас<br><br>Чудовищные противники<br><br>Усложненные условия эвакуации<br><br>Одноразовые чипы оперативников<br><br>						
ui.caption.takeall	взять все						
ui.caption.inventory	ИНВЕНТАРЬ						
ui.caption.skullproject	ПРОЕКТ Ч.Е.Р.Е.П.						
ui.caption.health	ЗДОРОВЬЕ						
ui.caption.operatorclass	КЛАСС ОПЕРАТИВНИКА						
ui.caption.death	СМЕРТЬ						
ui.caption.equipmentweight	ВЕС СНАРЯЖЕНИЯ						
ui.caption.floor	ПОЛ						
ui.caption.corpse	ОСТАНКИ						
ui.caption.store	КЕЙС						
ui.caption.operationmanagement	УПРАВЛЕНИЕ МИССИЕЙ						
ui.caption.bugreport	РЕПОРТ						
ui.caption.starmap	карта системы						
ui.caption.ship	корабль						
ui.caption.newsline	биржа акций						
ui.caption.startoperation	старт миссии						
ui.caption.visitstation	посетить станцию						
ui.caption.leavestation	покинуть станцию						
ui.caption.cargo	грузовой отсек						
ui.caption.stationcargo	склад станции						
ui.caption.exchangearea	зона обмена						
ui.caption.minimap	МИНИКАРТА						
ui.caption.missionfinished	Миссия выполнена						
ui.caption.evacuationfinished	Эвакуация выполнена						
ui.caption.resources	Ресурсы						
ui.caption.itemproduction	Производство						
ui.caption.magnum	ЧВК «МАГНУМ»						
ui.caption.selectmerc	Выберите оперативника						
ui.caption.selectclass	Выберите класс						
ui.caption.selectequipment	Выберите снаряжение						
ui.caption.peacefulvisit	Посещение мирной станции						
ui.caption.selectproduceitem	Выберите предмет для производства						
ui.caption.disclaimer	Важное пояснение						
ui.caption.savedgames	Сохранения						
ui.caption.autonomecapsule	Капсула						
ui.caption.tradeshuttle	Торговый челнок						
ui.caption.missionstatistic	МИССИЯ {0} ВЫПОЛНЕНА						
ui.missionstatistic.beneficiar	{0} как заказчик получает:						
ui.missionstatistic.victim	{0} как потерпевший теряет:						
ui.missionstatistic.reward	{0} получает:						
ui.hud.caption.takeskull	взять						
ui.hud.caption.leaveskull	оставить						
ui.hud.caption.outofammo	нет боеприпасов						
ui.hud.caption.needreload	нужна перезарядка						
ui.hud.caption.weapondamaged	оружие сломано						
ui.hud.caption.class	класс						
ui.hud.qmorph.posdelta	нисхождение						
ui.hud.qmorph.negdelta	восхождение						
ui.hud.health.posdelta	лечение						
ui.hud.health.negdelta	повреждение						
ui.hud.qmorphos.stage	фаза квазиморфоза						
ui.hud.qmorphos.eccolapse_chance	шанс экколапса						
ui.hud.qmorphos.muscle_mass	урон						
ui.hud.qmorphos.dmg_immunity	сопр. урону						
ui.hud.qmorphos.regeneration	здоровье						
ui.hud.qmorphos.aggresivnes	агрессивность						
ui.hud.qmorphos.nextphaseon	след. фаза						
notification.perklevelup	{0} улучшен до {1}						
notification.perklevelup.level	уровня {0}						
notification.unlockmerc	разблокирован чип сознания {0}						
notification.unlockmercclass	разблокирован чип класса {0}						
notification.unlockitem	разблокирован чип предмета {0}						
notification.itemproduced	предмет {0} произведен						
notification.projectdeveloped	Проект {0} завершен						
notification.missionadded	Найдена миссия {0}						
notification.floorscanned	Этаж просканирован						
notification.merc_cloned	Клонирование завершено: {0}						
notification.merc_healed	Лечение завершено: {0}						
notification.merc_trained	Тренировка {0}: {1} улучшен до {2}						
notification.deconstruction_completed	Разборка завершена						
notification.tradeshuttle.arrived	Торговый шаттл прибыл						
notification.tradeshuttle.dispatch	Торговый шаттл отправлен						
ui.map.signallost	сигнал потерян...						
ui.qmorphos.low	низкий						
ui.qmorphos.medium	средний						
ui.qmorphos.high	высокий						
ui.raidscreen.peacefulstationvisit	<color=#FFFEC1>Задача:</color> Мирное посещение станции. Эвакуация разрешена в любой момент.						
ui.magnum.ready	Готово: {0}/{1}						
ui.magnum.projects_available	Проекты: {0}/{1}						
ui.magnum.project.develope	"Проект ""{0}"""						
ui.magnum.training_available	Тренируется: {0}/{1}						
ui.magnum.producing_now	Производится: {0}/{1}						
ui.magnum.recycling_now	До конца разбора предметов						
ui.magnum.tradeshuttle.ready	Готов к отправке						
ui.magnum.tradeshuttle.arrivedtime	В пути: {0}						
ui.magnum.tradeshuttle.cooldown	Перезарядка: {0}						
ui.magnum.operators_training_list	Список обучения оперативников						
ui.magnum.project.no_mods_selected	Не выбраны улучшения						
ui.magnum.project.insufficient_resources	Недостаточно ресурсов						
ui.magnum.project.mods_limit_reached	Достигнут лимит модификаций						
ui.magnum.project.selectitem	Выберите элемент для разработки						
ui.magnum.project.selectoperator	Выберите оперативника для разработки						
ui.magnum.project.selectclass	Выберите класс для разработки						
ui.magnum.project.Armors.devlist	Список развития брони						
ui.magnum.project.Weapons.devlist	Список развития оружия						
ui.magnum.project.Operators.devlist	Список развития оперативников						
ui.magnum.project.Classes.devlist	Список развития классов						
ui.starmap.travelinfo	путь из {0} в {1}						
ui.controls.Common	общее						
ui.controls.Game	Игра						
ui.controls.System	Системные настройки						
ui.controls.bindKey	Нажмите клавишу, чтобы назначить ее:						
ui.controls.bindEscTip	Нажмите {0}, чтобы отменить привязку клавиши						
ui.controls.forbidBindKey	Нельзя переназначить						
ui.controls.confirmReset	Вернуть настройки управления по умолчанию?						
gamekey.Space	ПРОБЕЛ						
gamekey.MouseLeftButton	ЛКМ						
gamekey.MouseRightButton	ПКМ						
gamekey.ArrowUp	ВВЕРХ						
gamekey.ArrowDown	ВНИЗ						
gamekey.ArrowLeft	ВЛЕВО						
gamekey.ArrowRight	ВПРАВО						
gamekey.Inventory.desc	инвентарь						
gamekey.HealthMonitor.desc	монитор здоровья						
gamekey.Help.desc	помощь						
gamekey.Map.desc	Миникарта / Карта системы						
gamekey.ClassWindow.desc	класс оперативника						
gamekey.RaidWindow.desc	управление миссией						
gamekey.ProjectSkull.desc	Проект Ч.Е.Р.Е.П.						
gamekey.PrimaryAction.desc	Движение / Атака / Взаимодействие						
gamekey.SecondaryAction.desc	Альт. действие / Поворот взгляда / Контекстное меню						
gamekey.ItemInteraction.desc	Взять предмет / Взять все / Обмен предметов						
gamekey.UltimatePerk.desc	Активный навык						
gamekey.ArrowUp.desc	Шаг вверх						
gamekey.ArrowDown.desc	Шаг вниз						
gamekey.ArrowLeft.desc	Шаг влево						
gamekey.ArrowRight.desc	Шаг вправо						
gamekey.ArrowUpLeft.desc	Шаг вверх и влево						
gamekey.ArrowUpRight.desc	Шаг вверх и вправо						
gamekey.ArrowDownLeft.desc	Шаг вниз и влево						
gamekey.ArrowDownRight.desc	Шаг вниз и вправо						
gamekey.ChangeMoveModeLeft.desc	Смена режима ходьбы (медленнее)						
gamekey.ChangeMoveModeRight.desc	Смена режима ходьбы (быстрее)						
gamekey.SwapWeapon.desc	Смена активного оружия						
gamekey.SwapAttackMode.desc	Смена режима атаки						
gamekey.ReloadWeapon.desc	перезарядка оружия						
gamekey.SkipTurn.desc	Пропуск хода						
gamekey.HighlightAllItems.desc	Подсветить объекты и предметы в зоне видимости						
gamekey.Evacuation.desc	Эвакуация / Покинуть станцию						
gamekey.VestSlot1.desc	Слот разгрузки 1						
gamekey.VestSlot2.desc	Слот разгрузки 2						
gamekey.VestSlot3.desc	Слот разгрузки 3						
gamekey.VestSlot4.desc	Слот разгрузки 4						
gamekey.VestSlot5.desc	Слот разгрузки 5						
gamekey.Menu.desc	Меню / Назад						
gamekey.Report.desc	сообщить об ошибке						
gamekey.ZoomInCamera.desc	Приближение камеры						
gamekey.ZoomOutCamera.desc	Отдаление камеры						
gamekey.Confirm.desc	да						
gamekey.Cancel.desc	нет						
ui.newsline.ConquestStart	Фракция %BENEFICIARY_NAME% хочет приобрести станцию %STATION_NAME% (%SPACEOBJECT_NAME%). Владелец %VICTIM_NAME% не собирается отдавать актив. Возможны прямые действия.						
ui.newsline.ConquestEndGood	Фракция %BENEFICIARY_NAME% приобрела станцию %STATION_NAME% (%SPACEOBJECT_NAME%) в собственность.						
ui.newsline.ConquestEndFail	Фракция %VICTIM_NAME% сохраняет актив %STATION_NAME% (%SPACEOBJECT_NAME%). Она обвиняет %BENEFICIARY_NAME% в попытке насильственного захвата.						
ui.newsline.EliminationStart	Фракция %BENEFICIARY_NAME% желает ослабить позиции фракции %VICTIM_NAME% на станции %STATION_NAME% (%SPACEOBJECT_NAME%). Принято решение устранить важного сотрудника.						
ui.newsline.EliminationEndGood	Фракция %VICTIM_NAME% потеряла ценного специалиста на станции %STATION_NAME% (%SPACEOBJECT_NAME%). Она обвиняет %BENEFICIARY_NAME% в найме ЧВК для этой цели.						
ui.newsline.EliminationEndFail	ЧВК, работающая на %BENEFICIARY_NAME%, провалила попытку ликвидации сотрудника фракции %VICTIM_NAME% на станции %STATION_NAME% (%SPACEOBJECT_NAME%). Разгорается конфликт с апелляцией к НКЭ.						
ui.newsline.EspionageStart	Фракция %BENEFICIARY_NAME% проявляет большой интерес к происходящему на станции %STATION_NAME% (%SPACEOBJECT_NAME%). Владелец актива %VICTIM_NAME% опасается шпионских акций, выполняемых силами ЧВК.						
ui.newsline.EspionageEndGood	Фракция %BENEFICIARY_NAME% получила данные со станции %STATION_NAME% (%SPACEOBJECT_NAME%). Пострадавшая сторона %VICTIM_NAME% готовит акцию возмездия.						
ui.newsline.EspionageEndFail	ЧВК, работающая на %BENEFICIARY_NAME%, провалила миссию на станции %STATION_NAME% (%SPACEOBJECT_NAME%). Возможны ответные действия со стороны фракции %VICTIM_NAME%						
ui.newsline.SabotageStart	Станция %STATION_NAME% (%SPACEOBJECT_NAME%) мешает работе фракции %BENEFICIARY_NAME%. Возможна диверсия. Владелец станции %VICTIM_NAME% готовится к обороне.						
ui.newsline.SabotageEndGood	На станции %STATION_NAME% (%SPACEOBJECT_NAME%) произошла диверсия. Фракция %VICTIM_NAME% обвиняет %BENEFICIARY_NAME%.						
ui.newsline.SabotageEndFail	Провалена попытка диверсии на станции %STATION_NAME% (%SPACEOBJECT_NAME%). Фракция %BENEFICIARY_NAME% отвергают обвинения владельца станции %VICTIM_NAME% в использовании ЧВК.						
ui.newsline.DefenseStart	Актив %STATION_NAME% (%SPACEOBJECT_NAME%) подвергается атаке ЧВК. Фракция %BENEFICIARY_NAME% обвиняет %VICTIM_NAME% в организации нападения.						
ui.newsline.DefenseEndGood	Фракция %BENEFICIARY_NAME% сохранила контроль над станцией %STATION_NAME% (%SPACEOBJECT_NAME%).						
ui.newsline.DefenseEndFail	Фракция %BENEFICIARY_NAME% потеряла контроль над активом %STATION_NAME% (%SPACEOBJECT_NAME%). Новый владелец станции: %VICTIM_NAME%.						
ui.newsline.FactionStatusChange	Ведущие аналитики рынка сообщают, что фракция %BENEFICIARY_NAME% поменяла стратегию на {0}.						
ui.newsline.StatisticsPower	Гексархия уведомляет, что мощь фракции %BENEFICIARY_NAME% достигла {0}.						
ui.newsline.StatisticsTech	Промышленные аналитики сообщают, что технический уровень фракции %BENEFICIARY_NAME% достиг отметки {0}.						
ui.newsline.HighProductDemand	Огромный дефицит товара %PRODUCT% на станции %STATION_NAME%, находящейся под контролем фракции %BENEFICIARY_NAME% в секторе %SPACEOBJECT_NAME%						
ui.newsline.LowProductDemand	Перепроизводство вызвало профицит товара %PRODUCT% на станции %STATION_NAME%, находящейся под контролем %BENEFICIARY_NAME% в секторе %SPACEOBJECT_NAME%						
ui.newsline.FactionDestroyed	Корпоративный мир покинула фракция %VICTIM_NAME%						
ui.newsline.RitualStart	На станции %STATION_NAME% (%SPACEOBJECT_NAME%) начались волнения среди персонала. В организации беспорядков подозревается фракция %BENEFICIARY_NAME%. Владелец станции %VICTIM_NAME% направил дополнительные силы на их устранение. 						
ui.newsline.RitualEndGood	Фракция %VICTIM_NAME% сообщает, что беспорядки на станции %STATION_NAME% (%SPACEOBJECT_NAME%) устранены. Объект работает в штатном режиме.						
ui.newsline.RitualEndFail	Аналитики сообщают о бунтах личного состава на станции %STATION_NAME% (%SPACEOBJECT_NAME%), принадлежащей фракции %VICTIM_NAME%. В поддержке восставших обвиняется фракция %BENEFICIARY_NAME%.						
ui.newsline.RobberyStart	Внимание! Группировка %BENEFICIARY_NAME% планирует напасть на станцию %STATION_NAME% (%SPACEOBJECT_NAME%). Фракция %VICTIM_NAME% готовится к обороне.						
ui.newsline.RobberyEndGood	Фракция %VICTIM_NAME% пострадала от нападения группировки %BENEFICIARY_NAME% на %STATION_NAME% (%SPACEOBJECT_NAME%). Сообщается о повреждении и потере ценного оборудования.						
ui.newsline.RobberyEndFail	Фракция %VICTIM_NAME% сообщает об успешной ликвидации угрозы со стороны группировки %BENEFICIARY_NAME% на станции %STATION_NAME% (%SPACEOBJECT_NAME%).						
ui.newsline.InfiltrationStart	Сообщается об усилении шпионской активности вокруг %STATION_NAME% (%SPACEOBJECT_NAME%). По мнению экспертов, фракция %VICTIM_NAME% охотится за важнейшими данными владельца станции %BENEFICIARY_NAME%.						
ui.newsline.InfiltrationEndGood	Фракция %BENEFICARY_NAME% сообщает об успешной ликвидации шпионской сети %VICTIM_NAME% на станции %STATION_NAME% (%SPACEOBJECT_NAME%). 						
ui.newsline.InfiltrationEndFail	Владелец станции %STATION_NAME% (%SPACEOBJECT_NAME%) %BENEFICARY_NAME% обвиняет фракцию %VICTIM_NAME% в краже секретных данных.						
ui.newsline.ControlStart	Грузовой корабль владельца %BENEFICIARY_NAME% привлек внимание фракции %VICTIM_NAME%. Аналитики не исключают возможность вооруженных конфликтов на станции %STATION_NAME% (%SPACEOBJECT_NAME%).						
ui.newsline.ControlEndGood	Фракция %BENEFICIARY_NAME% сообщает об отраженной атаке на грузовой корабль, находящийся на станции %STATION_NAME% (%SPACEOBJECT_NAME%). В нападении подозревается фракция %VICTIM_NAME%.						
ui.newsline.ControlEndFail	Фракция %BENEFICIARY_NAME% утратила контроль над важным грузом находившимся на станции %STATION_NAME% (%SPACEOBJECT_NAME%). В захвате груза подозревается фракция %VICTIM_NAME%.						
ui.newsline.EscortStart	На станции %STATION_NAME% (%SPACEOBJECT_NAME%) усилена охрана личного состава. По данным аналитиков, владелец станции %BENEFICIARY_NAME% опасается нападения на ценного специалиста со стороны фракции %VICTIM_NAME%. 						
ui.newsline.EscortEndGood	Фракция %BENEFICIARY_NAME% успешно отразила атаку на личный состав станции %STATION_NAME% (%SPACEOBJECT_NAME%). По словам экспертов, заказчиком выступила фракция %VICTIM_NAME%.						
ui.newsline.EscortEndFail	Фракция %BENEFICIARY_NAME% потеряла ценного специалиста на станции %STATION_NAME% (%SPACEOBJECT_NAME%). Она обвиняет фракцию %VICTIM_NAME% в найме ЧВК для ликвидации сотрудника.						
ui.newsline.CounterattackStart	Поступают сообщения со станции %STATION_NAME% (%SPACEOBJECT_NAME%) о стычках между персоналом и службой безопасности %BENEFICIARY_NAME%. В организации беспорядков подозревается %VICTIM_NAME%.						
ui.newsline.CounterattackEndGood	Аналитики сообщают что , что работа станции %STATION_NAME% (%SPACEOBJECT_NAME%), принадлежащей фракции %BENEFICIARY_NAME% продолжается в штатном режиме. Фракции %VICTIM_NAME% не удалось достигнуть поставленных целей.						
ui.newsline.CounterattackEndFail	Сообщается о вооруженном восстании личного состава на станции %STATION_NAME% (%SPACEOBJECT_NAME%), чей владелец %BENEFICIARY_NAME%. Фракция %VICTIM_NAME% подозревается в организации беспорядков.						
ui.newsline.SecurityStart	Есть данные о том, что фракция %VICTIM_NAME% собирается совершить налет на станцию %STATION_NAME% (%SPACEOBJECT_NAME%), что в активе у %BENEFICIARY_NAME%.						
ui.newsline.SecurityEndGood	Потерпевшая сторона %BENEFICIARY_NAME% сообщает об успешной ликвидации угрозы со стороны фракции %VICTIM_NAME% на станции %STATION_NAME% (%SPACEOBJECT_NAME%).						
ui.newsline.SecurityEndFail	Фракция %BENEFICIARY_NAME% пострадала от нападения фракции %VICTIM_NAME% на %STATION_NAME% (%SPACEOBJECT_NAME%). Сообщается о повреждении и утере ценного оборудования.						
ui.gameover.rest	Покойся с миром.						
ui.gameover.reason.FallingDown	Тело агента {0} так и не было найдено. Считается пропавшим без вести.						
ui.gameover.reason.ReceiveDamage	Тело агента {0} найдено с многочисленными следами ранений.						
ui.gameover.reason.Burned	Тело агента {0} найдено полностью обгоревшим. Опознан по слепкам зубов.						
ui.gameover.reason.Exploded	Фрагменты тела агента {0} находили на протяжении полугода. Похоронен в закрытом гробу.						
ui.gameover.reason.Starvation	Тело агента {0} обнаружено со следами крайнего истощения. 						
ui.gameover.reason.AmputatedCriticalPart	Декапитированное тело агента {0} оставило следствие в недоумении.						
ui.gameover.reason.WoundActionDamage	Тело агента {0} найдено с обширными травмами верхних конечностей.						
ui.gameover.reason.WoundDotDamage	Агент {0} погиб в результате обширного кровотечения.						
ui.gameover.reason.WoundEatDamage	Агент {0} погиб в результате пищевого отравления.						
ui.gameover.reason.WoundMoveDamage	Тело агента {0} найдено с обширными травмами нижних конечностей.						
ui.gameover.reason.AbortMission	Миссия прервана по приказу руководства. Агент {0} считается пропавшим без вести.						
ui.gameover.reason.PoisonDotDamage	Агент {0} погиб в результате отравления токсинами.						
ui.gamefinished.message	Агент {0} успешно эвакуирован на базу.						
ui.hud.caption.healthmonitor	здоровье						
ui.healthmonitor.healthmonitor	монитор здоровья						
ui.healthmonitor.regen	регенерация						
ui.healthmonitor.atrophy	атрофия						
ui.healthmonitor.pain	болевой порог						
ui.healthmonitor.nut	cытость / метаболизм						
ui.healthmonitor.air	атм						
ui.healthmonitor.infection	заражение						
ui.healthmonitor.poison	отравление						
ui.mercclass.range	дальний бой						
ui.mercclass.melee	ближний бой						
ui.mercclass.defense	защита						
ui.mercclass.basicaccuracy	базовая точность						
ui.mercclass.visiondistance	видимость						
ui.mercclass.hitchance	шанс попасть						
ui.mercclass.handsdamage	рукопашный урон						
ui.mercclass.meleeboost	бонус к урону						
ui.mercclass.dodgechance	шанс уклониться						
ui.mercclass.weaponsdamage	бонус к урону						
ui.mercclass.meleecritchance	шанс крит. удара в ближнем бою						
ui.escscreen.resume	продолжить						
ui.escscreen.quitandsave	сохранить и выйти						
ui.escscreen.quit	выйти						
ui.itemproduction.all	все категории						
ui.itemproduction.rangeweapons	оружие дальнего боя						
ui.itemproduction.meleeweapons	оружие ближнего боя						
ui.itemproduction.ammo	боеприпасы						
ui.itemproduction.armors	броня						
ui.itemproduction.medicine	медицина						
ui.itemproduction.other	прочее						
ui.settings.general	общее						
ui.settings.graphics	графика						
ui.settings.sound	звук						
ui.settings.controls	управление						
ui.settings.credits	о разработчиках						
ui.settings.language	язык						
ui.settings.back	назад						
ui.settings.mastervolume	общая громкость						
ui.settings.musicvolume	громкость музыки						
ui.settings.brightness	яркость						
ui.settings.vsync	верт. синхронизация						
ui.settings.shadows	тени						
ui.settings.resolution	разрешение экрана						
ui.settings.screenmode	режим экрана						
ui.settings.fullscreen	полноэкранный						
ui.settings.window	оконный						
ui.settings.borderlesswindow	оконный без рамки						
ui.settings.largetext	увеличенный текст						
ui.settings.showhintsonmap	Контекстные подсказки						
ui.settings.tutorialhints	Подсказки от Джейн						
ui.settings.lockcursor	Блокировка указателя						
ui.settings.showskin	«Магнум» из брамфатуры						
ui.settings.shiftattack	Прицельная стрельба						
ui.settings.skiparrival	пропуск прибытия шаттла						
ui.settings.fasttrade	Быстрая торговля						
ui.settings.shakecamera	Дрожание камеры						
ui.settings.changessaveauto	изменения применятся автоматически						
ui.settings.resetsettings	Сбросить						
ui.settings.lockcamera	Заблокированная камера						
ui.settings.showtextistant	Анимированный текст						
