	English	Russian	German	Frenсh	Spanish	Polish	Turkish	BrazilianPortugal	Korean	Japanese	ChineseSimp
ui.label.painlevel	pain threshold	болевой порог	Schmerzniveau	douleur	nivel de dolor	poziom bólu	acı seviyesi	nível de dor	고통 레벨	苦痛度	疼痛水平
ui.label.reload	weapon reload	перезарядка оружия	Waffe nachladen	recharger	recarga de armas	przeładuj broń	silahı doldur	recarregar arma	무기 재장전	武器のリロード	武器装填
ui.label.clone	clone	клонировать	Klon	cloner	clon	klon	klon	clone	클론	クローン	克隆
ui.label.equipment	equipment	снаряжение	Ausrüstung	équipement	equipo	sprzęt	teçhizat	equipamento	장비	装置	设备
ui.label.send	send	отправить	schicken	envoyer	enviar	wysłać	Göndermek	enviar	보내기	送信	发送
ui.label.exchange_artifacts	exchange	обменять	tauschen	Échanger	intercambiar	wymiana	takas et	trocar	교환	交換	交换
ui.label.throwgrenade	grenade	граната	Granate	grenade	granada	granat	el bombası	granada	수류탄	グレネード	手雷
ui.label.applyultimate	ability	способность	Fähigkeit	compétence	habilidad	zdolność	kabiliyet	habilidade	능력	アビリティ	能力
ui.label.focus_Expansion	Expansion	Расширение	Expansion	Expansion	Expansión	Ekspansja	Genişleme	Expansão	확장	拡大	扩展
ui.label.focus_Defense	Defense	Оборона	Verteidigung	Défense	Defensa	Obrona	Savunma	Defesa	방어	防御	防御
ui.label.focus_Scouting	Scouting	Разведка	Kundschaften	Reconnaissance	Exploración	Zwiad	Gözetleme	Reconhecimento	정찰	偵察	侦查
ui.label.bluemark_disabled	Illegal organization	Нелегальная организация	Illegale Organisation	Organisation illégale	Organización clandestina	Nielegalna organizacja	Yasa dışı organizasyon	Organização ilegal	불법 조직	違法組織	非法组织
ui.label.bluemark_enabled	Thanks for your support	Спасибо за поддержку	Danke für die Unterstützung	Merci pour votre soutien	Gracias por el apoyo	Dziękujemy za wsparcie	Desteğin için teşekkürler	Obrigado por sua ajuda	후원해 주셔서 감사합니다!	応援ありがとうございます	感谢支持
ui.label.subscribe	subscribe	подписаться	Abonnieren	s'abonner	suscribirse	subskrybuj	abone ol	se inscrever	구독	登録する	订阅
ui.label.unsubscribe	unsubscribe	отписаться	Kündigen	se désabonner	cancelar suscripción	anuluj subskrypcję	abonelikten çık	cancelar inscrição	구독 해제	登録を解除する	取消订阅
ui.label.rewards_exchange	Rewards/Exchange	Награда/Обмен	Belohnungen/Tauschen	Récompenses/Échange	Recompensas/Intercambio	Nagrody/Zamiana	Ödüller/Takas	Recompensas/Trocas	보상/교환	報酬／交換	奖励/交换
ui.label.details	Details	Детали	Details	Détails	Detalles	Szczegóły	Ayrıntılar	Detalhes	정보	詳細	详情
ui.label.operator	Operator	Оперативник	Operator	Opérateur	Operador	Agent	Operatör	Operador	요원	オペレーター	干员
ui.label.operators	Operators	Оперативники	Operators	Opérateurs	Operadores	Agenci	Operatörler	Operadores	요원	オペレーター	干员
ui.label.merc_classes	Classes	Классы	Klassen	Classes	Clases	Klasy	Sınıflar	Classes	클래스	クラス	类别
ui.label.start_development	Start development	Начать разработку	Entwicklung starten	Démarrer le développement	Comenzar el desarrollo	Rozpocząć rozwój	Geliştirmeye başla	Iniciar desenvolvimento	개발 시작	開発を開始する	开始开发
ui.label.emptyslot	Empty slot	Пустой слот	Leerer Platz	Emplacement libre	Ranura vacía	Puste miejsce	Boş yuva	Espaço vazio	빈 슬롯	空スロット	空闲栏位
ui.label.item	Item	Предмет	Gegenstand	Objet	Objeto	Przedmiot	Eşya	Item	아이템	アイテム	物品
ui.label.resources	Resources	Ресурсы	Ressourcen	Ressources	Recursos	Zasoby	Kaynaklar	Recursos	자원	資源	资源
ui.label.time	Time	Время	Zeit	Temps	Tiempo	Czas	Süre	Tempo	시간	時間	时间
ui.label.unloadtocargo	Unload all	Выгрузить все	Entladen Sie alle	Décharger tout	Descargar todo	Rozładuj wszystko	Tümünü kaldır	Descarregar tudo	모두 내리기	すべてアンロードする	全部卸载
ui.label.enemy	Enemy	Противник	Feindliche	Ennemi	Enemigo	Wróg	Düşman	Inimigo	적	敵	敌人
ui.label.noinventorywhilerun	Inventory is not available on the run	Инвентарь не доступен на бегу	Laufen. Inventar nicht verfügbar	Inventaire inaccessible en courant	Correr. Inventario no disponible	W biegu. Ekwipunek niedostępny	Koşun. Envanter mevcut değil	Correr. Inventário não disponível	달리는 중. 인벤토리 사용 불가	走る。 在庫がありません	运行中无法打开库存
ui.label.noobstacleswhilerun	Not available while running	Не доступно во время бега	Nicht verfügbar während des Laufens	Impossible en courant	No disponible mientras corres	Niedostępne podczas biegu	Koşarken kullanılamaz	Não disponível durante a execução	달리는 동안 사용할 수 없음	走行中は利用できません	奔跑中不可用
ui.label.limitwhilebaron	Quasimorphic Storm	Квазиморфный шторм	Quasimorpher Sturm	Tempête quasimorphique	Tormenta cuasimórfica	Burza Quasimorficzna	Kısmimorfik Fırtına	Tempestade Quasimórfica	준형성 폭풍	準変異性の嵐	变异风暴
ui.label.limittutorial	Not available yet	Пока не доступно	Noch nicht verfügbar	Pas encore disponible	Todavía no disponible	Nie dostępne jeszcze	Henüz mevcut değil	Ainda não disponível	아직 사용할 수 없음	まだ利用できません	尚不可用
ui.label.remove_item_here	Drag object to remove	Перетащите предмет для удаления	Objekt zum Entfernen ziehen	Faire glisser l'objet pour le retirer	Arrastrar objeto para eliminarlo	Przeciągnij obiekt, aby go usunąć	Kaldırmak için nesneyi sürükleyin	Arraste o objeto para removê-lo	물체를 드래그하여 제거	オブジェクトをドラッグして削除	拖动要移除的对象
ui.label.sort_arsenal	Sort the Cargo Hold	Отсортировать груз. отсек	Sortieren Sie den Frachtraum	Trier la soute	Ordenar la bahía de carga	Sortowanie ładowni	Kargo ambarınızı sıralayın	Classifique o porão de carga	화물칸 정렬	貨物室の配置を変える	整理货舱
ui.label.looted	Searched	Обыскано	Durchsucht	Recherché	Buscado	Przeszukano	Arandı	Pesquisado	수색 완료	検索済み	搜索
ui.label.stationwner	Owner	Владелец	Besitzer	Propriétaire	Propietario	Właściciel	Sahibi	Proprietário	소유자	所有者	所有者
ui.label.victim	Victim	Жертва	Opfer	Victime	Víctima	Ofiara	Kurban	Vítima	희생자	被害者	受害者
ui.label.beneficiary	Beneficiary	Бенефициар	Begünstigter	Bénéficiaire	Beneficiario	Beneficjent	Hak Sahibi	Beneficiário	수혜자	顧客	受益人
ui.label.locked_by_reputation	Unavailable. Low attitude.	Недоступно. Плохие отношения.	Nicht verfügbar. Ruhm zu niedrig.	Indisponible. Faible réputation.	No disponible. Mala reputación.	Niedostępne. Słaba reputacja.	Kullanılabilir değil. Düşük itibar.	Indisponível. Baixa reputação.	사용 불가능. 평판 낮음.	利用不可。評判低い。	不可用。声誉不佳。
ui.label.savedslot	Slot {0}	Слот {0}	Slots {0}	Slot {0}	Ranura {0}	Slot {0}	Yer {0}	Slot {0}	슬롯 {0}	スロット {0}	槽 {0}
ui.label.newsave	New Save	Новая Игра	Neues Spiel	Nouvelle partie	Nueva partida	Nowa Gra	Yeni Oyun	Novo Jogo	새로운 게임	新しいゲーム	新游戏
ui.label.restorechance	Chance of recovery {0}	Шанс восстановления {0}	Wiederherstellungschance {0}	Chance de guérison {0}	Oportunidad de recuperación {0}	Szansa na odzyskanie {0}	İyileşme şansı {0}	Chance de recuperação {0}	{0}의 회복 기회	{0}の回復率	恢复机会 {0}
ui.label.invalid_version	Outdated version	Устаревшая версия	Veraltete Version	Version périmée	Versión obsoleta	Nieaktualna wersja	Eski versiyon	Versão desatualizada	오래된 버전	古いバージョン	过期版本
ui.label.unexpected_error	Unknown error	Неизвестная ошибка	Unbekannter Fehler	Erreur inconnue	Error desconocido	Nieznany błąd	Bilinmeyen hata	Erro desconhecido	알 수 없는 오류	不明なエラー	未知错误
ui.label.no_consume_regen	n/a	нет	nicht vorhanden	non applicable	no aplicable	n/d	mevcut değil	n/a	해당 없음	該当なし	无法使用
ui.label.perk	Perk	Перк	Vorteil	Compétence	Ventaja	Przywilej	Artı Özellik	Privilégio	특성	特典	被动技能
ui.label.status_effect	Status Effect	Статус Эффект	Status Effekt	Effet de statut	Efecto de estado	Efekt statusu	Durum Etkisi	Efeito de estado	상태 효과	ステータス効果	状态效果
ui.label.wound	Wound	Рана	Wunde	Blessure	Herida	Rana	Yara	Ferida	상처	傷	伤口
ui.label.addiction	Addiction	Зависимость	Sucht	Addiction	Adicción	Uzależnienie	Bağımlılık	Vício	중독	中毒	依赖性
ui.label.manufacturers	Manufacturers	Производители	Hersteller	Fabricants	Fabricantes	Producenci 	Üreticiler	Fabricantes	생산자	メーカー	制造商
ui.label.consumers	Consumers	Потребители	Verbraucher	Consommateurs	Consumidores	Konsumenci	Tüketiciler	Consumidores	소비자	消費者	消费者
ui.label.Income	Income	Доход	Einkommen	Revenus	Ingresos	Dochód	Gelir	Renda	소득	収入	收入
ui.label.expense	Expense	Расход	Ausgabe	Dépenses	Gasto	Wydatek	Gider	Despesa	경비	支出	支出
ui.label.hazards	Dangerous tile	Опасная клетка	Gefährliches Feld	Case dangereuse	casilla peligrosa	Niebezpieczne pole	Tehlikeli bölge	peça perigosa	위험한 장소	危険な場所	险地
ui.label.disassemble_corpse_items	Disassemble everything	Разобрать всё	Alles demontieren	Tout démonter	Desmontarlo todo	Zdemontować wszystko	Her şeyi sökün	Desmontar tudo	모두 분해	すべてを分解する	拆卸一切
ui.label.amputate_corpse_slots	Amputate everything	Ампутировать всё	Alles amputieren	Tout amputer	Amputar todo	Amputować wszystko	Her şeyi kesin	Amputar tudo	모두 절단	すべてを切断する	截断一切
ui.label.upgrade	Upgrade	Улучшить	Upgrade	Mise à niveau	Mejorar	Aktualizacja	Yükseltme	Atualizar	업그레이드	アップグレード	升级
ui.label.no_device	no device	нет устройства	kein Gerät	pas d'appareil	sin dispositivo	brak urządzenia	cihaz yok	sem dispositivo	장치 없음	デバイスなし	没有设备
ui.label.installed	Installed	Установлен	Installiert	Installé	Instalado	Zainstalowany	Yüklendi	Instalado	설치됨	インストールされました	已安装
ui.label.available	Available	Доступен	Verfügbar	Disponible	Disponible	Dostępny	Uygun	Disponível	사용 가능한	利用可能	可用
ui.label.blocked	Blocked	Заблокирован	Blockiert	Bloqué	Bloqueado	Zablokowany	Engellendi	Bloqueado	차단됨	ブロックされました	被阻止
ui.label.standalone	Stand-alone	Автономный	Eigenständig	Autonome	Independiente	Samodzielny	Bağımsız	Autônomo	독립된	単独	独立
ui.label.damaged	Damaged	Повреждено	Beschädigt	Endommagé	Dañado	Uszkodzony	Hasarlı	Danificado	손상된	損傷	受损
ui.label.status_tradebreak	Trade break	Торг. разрыв	Handelsbruch	Rupture Comm.	Ruptura comercial	Przerwa w handlu	Ticaret kopması	Quebra de comércio	무역 중단	取引中断	贸易中断
ui.label.passive_perks	Passive perks	Пассивные перки	Passive Vorteile	Atouts passifs	Beneficios pasivos	Pasywne atuty	Pasif yetenekler	Benefícios passivos	수동적 특전	パッシブパークス	被动技能
ui.label.trigger_perks	Trigger perks	Перки-триггеры	Auslöser-Extras	Perks déclencheurs	Beneficios activadores	Perki spustowe	Tetikleyici avantajlar	Benefícios de gatilho	트리거 퍽	トリガーパークス	触发福利
ui.label.weapon_trait	Weapon ability	Свойство оружия	Waffenfähigkeit	Capacité de l'arme	Habilidad de arma	Zdolność broni	Silah yeteneği	Habilidade da arma	무기 능력	武器スキル	武器能力
ui.label.no_projects_available	No projects available	Нет доступных проектов	Keine Projekte verfügbar	Aucun projet disponible	No hay proyectos disponibles	Brak dostępnych projektów	Mevcut proje yok	Nenhum projeto disponível	사용 가능한 프로젝트가 없습니다	利用可能なプロジェクトはありません	没有可用的项目
ui.label.no_operators_available	No operators available	Нет доступных оперативников	Keine Einsatzkräfte verfügbar	Aucun opérateur disponible	No hay operadores disponibles	Brak dostępnych operatorów	Kullanılabilir operatör yok	Nenhum operador disponível	사용 가능한 운영자가 없습니다	利用可能なオペレーターがいません	没有可用的操作员
ui.label.cloning	Cloning in process	Клонирование в процессе	Klonen im Gange	Clonage en cours	Clonación en proceso	Klonowanie w toku	Klonlama işlemi	Clonagem em processo	복제 진행 중	クローニング中	克隆进行中
ui.label.healing	Healing in progress	Лечение в процессе	Heilung im Gange	Guérison en cours	Curación en progreso	Leczenie w toku	İyileşme sürecinde	Cura em progresso	치유 진행 중	治療中です	正在治疗中
ui.label.training	Training in progress	Тренировка в процессе	Training läuft	Entraînement en cours	Entrenamiento en progreso	Trening w trakcie	Eğitim devam ediyor	Treinamento em andamento	훈련 진행 중	トレーニング中	培训正在进行中
ui.label.no_items	Empty backpack	Пустой рюкзак	Leerer Rucksack	Sac à dos vide	Mochila vacía	Pusty plecak	Boş sırt çantası	Mochila vazia	빈 배낭	空のバックパック	空背包
ui.label.usable_limits	Working with:	Работает с:	Arbeitet mit:	Travaille avec :	Trabajando con:	Pracuje z:	İle çalışıyor:	Trabalhando com:	작업 중:	次のものと作業中:	正在与以下内容协作:
label.rank_levelup_limit_reached	Rank increase limit reached	Достигнут лимит повышения ранга	Rangsteigerungslimit erreicht	Limite d'augmentation de rang atteinte	Límite de aumento de rango alcanzado	Osiągnięto limit podnoszenia rangi	Rütbe artış limitine ulaşıldı	Limite de aumento de rank alcançado	등급 상승 한도 도달	ランクアップの上限に達しました	已达到提升等级的上限
label.rank_levelup_after_raid	The operative's rank has been raised	Ранг оперативника повышен	Der Rang des Agenten wurde erhöht	Le grade de l'opérateur a été augmenté	El rango del agente ha sido ascendido	Ranga operatywnego została podniesiona	Operatifin rütbesi yükseltildi	A patente do agente foi elevada	작전 요원의 등급이 상향되었습니다	オペレーターのランクが上がった	特工的等级已提升
label.require_battle_cond	Need experience capacitor for rank increase	Нужен конденсатор опыта для повышения ранга	Benötige Erfahrungskondensator für Ranganstieg	Besoin d'un condensateur d'expérience pour augmenter le rang	Necesito un condensador de experiencia para aumentar el rango	Potrzebny kondensator doświadczenia do zwiększenia rangi	Rütbe artışı için deneyim kondansatörü gerekiyor	Precisa de capacitor de experiência para aumento de patente	등급 상승을 위한 경험치 커패시터가 필요합니다	ランクアップには経験値コンデンサーが必要です	需要经验电容器以提升等级
ui.label.callcapsule	Call the capsule	Вызвать капсулу	Die Kapsel rufen	Appeler la capsule	Llamar a la cápsula	Wezwać kapsułę	Kapsülü çağır	Chamar a cápsula	캡슐 호출	カプセルを呼ぶ	呼叫胶囊
ui.caption.takeall	take all	взять все	Alles nehmen	prendre tout	usar todas	weź wszystko	hepsini al	levar tudo	모두 가져가기	すべて取得	拾取所有
ui.caption.inventory	INVENTORY	ИНВЕНТАРЬ	INVENTAR	INVENTAIRE	INVENTARIO	EKWIPUNEK	ENVANTER	INVENTÁRIO	인벤토리	インベントリ	物品栏
ui.caption.skullproject	S.K.U.L.L. PROJECT	ПРОЕКТ Ч.Е.Р.Е.П.	PROJEKT S.K.U.L.L.	PROJET S.K.U.L.L.	PROYECTO S.K.U.L.L.	PROJEKT S.K.U.L.L.	S.K.U.L.L. PROJESİ	PROJETO S.K.U.L.L.	S.K.U.L.L. 프로젝트	S.K.U.L.L.プロジェクト	S.K.U.L.L.项目
ui.caption.health	HEALTH	ЗДОРОВЬЕ	GESUNDHEIT	SANTÉ	SALUD	ZDROWIE	SAĞLIK	VIDA	체력	体力	生命值
ui.caption.operatorclass	OPERATIVE'S CLASS	КЛАСС ОПЕРАТИВНИКА	KLASSE DES OPERATORS	CLASSE D'AGENT	Clase de agente	KLASA AGENTA	OPERATÖRÜN SINIFI	CLASSE DO OPERADOR	요원의 클래스	隊員のクラス	人员职业
ui.caption.death	DEATH	СМЕРТЬ	TOD	MORT	MUERTE	ŚMIERĆ	ÖLÜM	MORTE	사망	死亡	死亡
ui.caption.equipmentweight	EQUIPMENT WEIGHT	ВЕС СНАРЯЖЕНИЯ	AUSRÜSTUNGSGEWICHT	POIDS DE L'ÉQUIPEMENT	PESO DEL EQUIPAMIENTO	WAGA WYPOSAŻENIA	EKİPMAN AĞIRLIĞI	PESO DO EQUIPAMENTO	장비 무게	装備重量	装备重量
ui.caption.floor	FLOOR	ПОЛ	BODEN	SOL	PISO	PODŁOGA	ZEMİN	ANDAR	바닥	床	地面
ui.caption.corpse	REMAINS	ОСТАНКИ	ÜBERRESTE	RESTES	RESTOS	SZCZĄTKI	KALINTILAR	RESTOS MORTAIS	유해	残り	残骸
ui.caption.store	STORAGE	КЕЙС	LAGER	STOCKAGE	ALMACÉN	ŁADOWNIA	DEPO	ARMAZENAMENTO	저장고	貨物倉	仓库
ui.caption.operationmanagement	MISSION MANAGEMENT	УПРАВЛЕНИЕ МИССИЕЙ	EINSATZLEITUNG	GESTION D'OPÉRATION	GESTIÓN DE LA OPERACIÓN	ZARZĄDZANIE OPERACJĄ	OPERASYON YÖNETİMİ	GESTÃO DA OPERAÇÃO	작전 관리	作戦管理	行动管理
ui.caption.bugreport	REPORT	РЕПОРТ	MELDEN	RAPPORT	REPORTAR	ZGŁOŚ	BİLDİR	RELATAR	버그 신고	報告	汇报
ui.caption.starmap	system map	карта системы	Systemkarte	carte stellaire	mapa del sistema	mapa układu	sistem haritası	mapa do sistema	시스템 맵	システムマップ	星系地图
ui.caption.ship	spacecraft	корабль	Raumschiff	vaisseau	nave espacial	statek kosmiczny	uzay aracı	espaçonave	우주선	宇宙船	太空飞船
ui.caption.newsline	stock exchange	биржа акций	Börse	bourse	bolsa de valores	giełda	borsa	bolsa de valores	증권 거래소	取引所	证券交易所
ui.caption.startoperation	start mission	старт миссии	Mission starten	lancer la mission	iniciar misión	rozpocznij misję	görevi başlat	iniciar missão	임무 시작	任務を開始	开始任务
ui.caption.visitstation	visit station	посетить станцию	Station besuchen	visiter la station	visitar estación	odwiedź stację	istasyonu ziyaret et	visitar estação	정거장 방문	ステーションを訪問する	拜访空间站
ui.caption.leavestation	leave station	покинуть станцию	Station verlassen	quitter la station	abandonar estación	opuść stację	istasyondan ayrıl	sair da estação	정거장 떠나기	ステーションを離れる	离开空间站
ui.caption.cargo	Cargo Hold	Грузовой Отсек	Laderaum	Soute	bodega de carga	ładownia	yük ambarı	porão de carga	화물칸	貨物室	货舱
ui.caption.stationcargo	station cargo	склад станции	Stationsfracht	entrepôt local	mercancía de estación	ładunek stacji	istasyon kargosu	carga da estação	스테이션 화물	ステーションの貨物	空间站货物
ui.caption.minimap	MINIMAP	МИНИКАРТА	MINIKARTE	MINI-CARTE	MINIMAPA	MINIMAPA	MİNİ HARİTA	MINIMAPA	미니맵	ミニマップ	小地图
ui.caption.missionfinished	Mission Complete	Миссия выполнена	Mission abgeschlossen	Mission accomplie	Misión cumplida	Misja ukończona	Görev Tamamlandı	Missão Cumprida	임무 완료	任務完了	任务完成
ui.caption.evacuationfinished	Evacuation Complete	Эвакуация выполнена	Evakuierung abgeschlossen	Évacuation terminée	Evacuación completa	Ewakuacja zakończona	Tahliye Tamamlandı	Evacuação Concluída	대피 완료	脱出完了	撤离完成
ui.caption.resources	Resources	Ресурсы	Ressourcen	Ressources	Recursos	Zasoby	Kaynaklar	Recursos	자원	資源	资源
ui.caption.itemproduction	Production	Производство	Produktion	Production	Productos	Produkcja	Üretim	Produção	생산	製造	生产
ui.caption.magnum	MAGNUM PMC	ЧВК МАГНУМ	MAGNUM PMC	SMP MAGNUM	PMC MAGNUM	PFW MAGNUM	MAGNUM ÖAŞ	PMC MAGNUM	매그넘 PMC	マグナムPMC	PMC马格南号
ui.caption.selectmerc	Select operator	Выберите оперативника	Operator wählen	Choix d'opérateur	Seleccionar operador	Wybierz agenta	Operatör seç	Selecionar operador	오퍼레이터 선택	オペレーターを選択	选择干员
ui.caption.selectclass	Select class	Выберите класс	Klasse wählen	Choix de classe	Seleccionar clase	Wybierz klasę	Sınıf seç	Selecionar classe	클래스 선택	クラスを選択	选择职业
ui.caption.selectequipment	Select equipment	Выберите снаряжение	Ausrüstung wählen	Choix d'équipement	Seleccionar equipo	Wybierz wyposażenie	Ekipman seç	Selecionar equipamento	장비 선택	装備を選択	选择装备
ui.caption.peacefulvisit	Peaceful station visit	Посещение мирной станции	Friedlicher Stationsbesuch	Visite pacifique	Visita pacífica a la estación	Pokojowa wizyta na stacji	Sakin bir istasyon ziyareti	Visita pacífica à estação	평화로운 스테이션 방문	平時のステーション訪問	和平访问站点
ui.caption.selectproduceitem	Select the item to produce	Выберите предмет для производства	Gegenstand für Produktion auswählen	Choix d'objet à produire	Seleccionar objeto para producir	Wybierz przedmiot do wyprodukowania	Üretilecek eşyayı seç	Selecione o item a produzir	생산할 아이템 선택	生産するアイテムを選択	选择要生产的物品
ui.caption.disclaimer	disclaimer	Важное пояснение	Haftungsausschluss	avis	advertencia	objaśnienia	uyarı	aviso	면책 조항	免責事項	免责声明
ui.caption.savedgames	Saved Games	Сохранения	Speicherungen	Sauvegardes	Guardados	Zapisy	Kayıtlar	Salvos	세이브	セーブ	保存
ui.caption.autonomecapsule	Capsule	Капсула	Kapsel	Capsule	Cápsula	Kapsuła	Kapsül	Cápsula	캡슐	カプセル	胶囊
ui.caption.tradeshuttle	Trade shuttle	Торговый челнок	Handelsshuttle	Navette commerciale	Lanzadera comercial	Prom handlowy	Ticaret mekiği	Ônibus de comércio	무역 셔틀	貿易シャトル	贸易穿梭
ui.caption.missionstatistic	MISSION {0} COMPLETED	МИССИЯ {0} ВЫПОЛНЕНА	MISSION {0} ABGESCHLOSSEN	MISSION {0} TERMINÉE	MISIÓN {0} COMPLETADA	MISJA {0} ZAKOŃCZONA	GÖREV {0} TAMAMLANDI	MISSÃO {0} COMPLETADA	미션 {0} 완료	ミッション {0} 完了	任务 {0} 完成
