Rhino	other_industry_2 other_industry_3 other_industry_4 other_industry_5	military_food_container communication_relay mining_equipment construction_equipment memory_software entertainment_software packaged_recreational_robot itemChip mediumItemChip highItemChip merkUSB classUSB	resistant_prod_2	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container regular_food_container water_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	regular_clothing_container weapon_container robot_parts_container ai_module medical_equipment quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components\r
Kizzuwatna	food_mining_4 food_mining_3	regular_clothing_container worker_clothing_container ai_module scientific_equipment research_disk prototype_schematics precious_metals gunbang_magazine medical_components itemChip mediumItemChip highItemChip merkUSB classUSB	resistant_prod_2	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container regular_food_container water_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	regular_clothing_container weapon_container robot_parts_container ai_module medical_equipment quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components\r
Lomonosov	science_industry_1 science_industry_2 science_industry_3 science_industry_4	moon_crossbow mercury_staff moon_heavy_armor moon_armor azt_light_armor azt_heavy_armor venus_armor_shards moon_armor_shards demonic_aye skull_explosion skull_ray skull_contract_mercury skull_bloodstrike skull_bloodlust skull_call_of_blood skull_contract_venus skull_transformation skull_resurrection skull_contract_luna itemChip mediumItemChip highItemChip merkUSB classUSB	resistant_prod_2	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container regular_food_container water_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	regular_clothing_container weapon_container robot_parts_container ai_module medical_equipment quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components\r
GammaHydra	science_devices_7 science_devices_2	moon_crossbow mercury_staff moon_heavy_armor moon_armor azt_light_armor azt_heavy_armor venus_armor_shards moon_armor_shards demonic_aye skull_explosion skull_ray skull_contract_mercury skull_bloodstrike skull_bloodlust skull_call_of_blood skull_contract_venus skull_transformation skull_resurrection skull_contract_luna itemChip mediumItemChip highItemChip merkUSB classUSB	resistant_prod_2	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container regular_food_container water_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	regular_clothing_container weapon_container robot_parts_container ai_module medical_equipment quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components\r
EnergyOne	prod_industry_2 prod_industry_6 prod_industry_7 prod_industry_8	servo_backpack regular_food_container electrical_parts_container quasi_sensor_device management_unit darknet_unit military_unit drug_cargo gunbang_magazine itemChip mediumItemChip highItemChip merkUSB classUSB	resistant_prod_2	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container regular_food_container water_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	regular_clothing_container weapon_container robot_parts_container ai_module medical_equipment quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components\r
Photosphere	food_mining_2 food_mining_3 power_action_5	regular_clothing_container worker_clothing_container ai_module scientific_equipment research_disk prototype_schematics precious_metals gunbang_magazine medical_components itemChip mediumItemChip highItemChip merkUSB classUSB	resistant_prod_2	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container regular_food_container water_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	regular_clothing_container weapon_container robot_parts_container ai_module medical_equipment quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components\r
JourneyOfFire	entertaiment_action_2 entertaiment_action_5	morphine rocketCandy caviar wagyu_steak truffle_oil tuna_steak packaged_recreational_robot itemChip mediumItemChip highItemChip merkUSB classUSB	resistant_prod_2	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container regular_food_container water_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	regular_clothing_container weapon_container robot_parts_container ai_module medical_equipment quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components\r
Campbell	science_devices_5 science_devices_6 transit_2	moon_crossbow mercury_staff moon_heavy_armor moon_armor azt_light_armor azt_heavy_armor venus_armor_shards moon_armor_shards demonic_aye skull_explosion skull_ray skull_contract_mercury skull_bloodstrike skull_bloodlust skull_call_of_blood skull_contract_venus skull_transformation skull_resurrection skull_contract_luna itemChip mediumItemChip highItemChip merkUSB classUSB	resistant_prod_2	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container regular_food_container water_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	regular_clothing_container weapon_container robot_parts_container ai_module medical_equipment quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components\r
IbsaPrison	other_industry_1 other_industry_2 other_industry_3 other_industry_6	miner_clothing_container worker_clothing_container weapon_container electrical_parts_container ai_module communication_relay quasi_sensor_device geoscanner_device medical_equipment chemical_analyzer hydraulic_pump packaged_recreational_robot itemChip mediumItemChip highItemChip merkUSB classUSB	resistant_prod_2	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container regular_food_container water_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	regular_clothing_container weapon_container robot_parts_container ai_module medical_equipment quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components\r
Jinxing	military_devices_1 military_devices_2 military_devices_3 military_devices_5 transit_4	luxury_food_container alcogol_container regular_clothing_container miner_clothing_container worker_clothing_container scientist_clothing_container security_clothing_container weapon_container armor_container tool_container geoscanner_device welding_machine_device chemical_analyzer quasiresearch_disk entertainment_software precious_metals itemChip mediumItemChip highItemChip merkUSB classUSB	resistant_prod_2	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container regular_food_container water_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	regular_clothing_container weapon_container robot_parts_container ai_module medical_equipment quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components\r
HISUnveiled	science_mining_5 science_mining_1 science_mining_2 spy_action_1	moon_crossbow mercury_staff moon_heavy_armor moon_armor azt_light_armor azt_heavy_armor venus_armor_shards moon_armor_shards demonic_aye skull_explosion skull_ray skull_contract_mercury skull_bloodstrike skull_bloodlust skull_call_of_blood skull_contract_venus skull_transformation skull_resurrection skull_contract_luna itemChip mediumItemChip highItemChip merkUSB classUSB	resistant_prod_2	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container regular_food_container water_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	regular_clothing_container weapon_container robot_parts_container ai_module medical_equipment quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components\r
FrescoPlatforms	other_industry_2 other_industry_3 other_industry_4 other_industry_5	miner_clothing_container worker_clothing_container weapon_container electrical_parts_container ai_module communication_relay quasi_sensor_device geoscanner_device medical_equipment chemical_analyzer hydraulic_pump packaged_recreational_robot itemChip mediumItemChip highItemChip merkUSB classUSB	resistant_prod_2	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container regular_food_container water_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	regular_clothing_container weapon_container robot_parts_container ai_module medical_equipment quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components\r
LouhiCity	prod_mining_3 prod_mining_4	servo_backpack regular_food_container electrical_parts_container quasi_sensor_device management_unit darknet_unit military_unit drug_cargo gunbang_magazine itemChip mediumItemChip highItemChip merkUSB classUSB	resistant_prod_2	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container regular_food_container water_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	regular_clothing_container weapon_container robot_parts_container ai_module medical_equipment quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components\r
Fortuna	science_devices_3 science_devices_4	moon_crossbow mercury_staff moon_heavy_armor moon_armor azt_light_armor azt_heavy_armor venus_armor_shards moon_armor_shards demonic_aye skull_explosion skull_ray skull_contract_mercury skull_bloodstrike skull_bloodlust skull_call_of_blood skull_contract_venus skull_transformation skull_resurrection skull_contract_luna itemChip mediumItemChip highItemChip merkUSB classUSB	resistant_prod_2	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container regular_food_container water_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	regular_clothing_container weapon_container robot_parts_container ai_module medical_equipment quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components\r
Oddibjord	prod_industry_2 prod_industry_6 prod_industry_7 prod_industry_8	servo_backpack regular_food_container electrical_parts_container quasi_sensor_device management_unit darknet_unit military_unit drug_cargo gunbang_magazine itemChip mediumItemChip highItemChip merkUSB classUSB	resistant_prod_2	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container regular_food_container water_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_1	regular_clothing_container weapon_container robot_parts_container ai_module medical_equipment quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components\r
Clotho	other_industry_1 other_industry_6	luxury_food_container alcogol_container regular_clothing_container miner_clothing_container worker_clothing_container scientist_clothing_container security_clothing_container weapon_container armor_container tool_container geoscanner_device welding_machine_device chemical_analyzer quasiresearch_disk entertainment_software precious_metals itemChip mediumItemChip highItemChip merkUSB classUSB	resistant_prod_2	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container regular_food_container water_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	regular_clothing_container weapon_container robot_parts_container ai_module medical_equipment quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components\r
FeatheredTemple	power_action_2 power_action_3	military_food_container communication_relay mining_equipment construction_equipment memory_software entertainment_software packaged_recreational_robot itemChip mediumItemChip highItemChip merkUSB classUSB	resistant_prod_2	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container regular_food_container water_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_1	regular_clothing_container weapon_container robot_parts_container ai_module medical_equipment quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components\r
SubRosa	science_industry_5 science_industry_6 science_industry_7 science_industry_8	moon_crossbow mercury_staff moon_heavy_armor moon_armor azt_light_armor azt_heavy_armor venus_armor_shards moon_armor_shards demonic_aye skull_explosion skull_ray skull_contract_mercury skull_bloodstrike skull_bloodlust skull_call_of_blood skull_contract_venus skull_transformation skull_resurrection skull_contract_luna itemChip mediumItemChip highItemChip merkUSB classUSB	resistant_prod_2	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container regular_food_container water_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	regular_clothing_container weapon_container robot_parts_container ai_module medical_equipment quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components\r
February	other_industry_1 other_industry_2 other_industry_3 other_industry_6	luxury_food_container alcogol_container regular_clothing_container miner_clothing_container worker_clothing_container scientist_clothing_container security_clothing_container weapon_container armor_container tool_container geoscanner_device welding_machine_device chemical_analyzer quasiresearch_disk entertainment_software precious_metals itemChip mediumItemChip highItemChip merkUSB classUSB	resistant_prod_2	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container regular_food_container water_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	regular_clothing_container weapon_container robot_parts_container ai_module medical_equipment quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components\r
Kyoko	entertaiment_action_3 entertaiment_action_4 entertaiment_action_5	morphine rocketCandy caviar wagyu_steak truffle_oil tuna_steak packaged_recreational_robot itemChip mediumItemChip highItemChip merkUSB classUSB	resistant_prod_2	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container regular_food_container water_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	regular_clothing_container weapon_container robot_parts_container ai_module medical_equipment quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components\r
MechtaShooting	power_action_3 power_action_1 transit_5	luxury_food_container alcogol_container regular_clothing_container miner_clothing_container worker_clothing_container scientist_clothing_container security_clothing_container weapon_container armor_container tool_container geoscanner_device welding_machine_device chemical_analyzer quasiresearch_disk entertainment_software precious_metals itemChip mediumItemChip highItemChip merkUSB classUSB	resistant_prod_2	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container regular_food_container water_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	regular_clothing_container weapon_container robot_parts_container ai_module medical_equipment quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components\r
Kitchen	entertaiment_action_1 entertaiment_action_2 entertaiment_action_3	morphine rocketCandy caviar wagyu_steak truffle_oil tuna_steak packaged_recreational_robot itemChip mediumItemChip highItemChip merkUSB classUSB	resistant_prod_2	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container regular_food_container water_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	regular_clothing_container weapon_container robot_parts_container ai_module medical_equipment quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components\r
EStation	other_industry_1 other_industry_6	military_food_container communication_relay mining_equipment construction_equipment memory_software entertainment_software packaged_recreational_robot itemChip mediumItemChip highItemChip merkUSB classUSB	resistant_prod_2	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container regular_food_container water_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	regular_clothing_container weapon_container robot_parts_container ai_module medical_equipment quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components\r
Purgatory	other_industry_2 other_industry_3 other_industry_4 other_industry_5	luxury_food_container alcogol_container regular_clothing_container miner_clothing_container worker_clothing_container scientist_clothing_container security_clothing_container weapon_container armor_container tool_container geoscanner_device welding_machine_device chemical_analyzer quasiresearch_disk entertainment_software precious_metals itemChip mediumItemChip highItemChip merkUSB classUSB	resistant_prod_2	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container regular_food_container water_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	regular_clothing_container weapon_container robot_parts_container ai_module medical_equipment quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components\r
Edge	spy_action_5 spy_action_3 spy_action_4 capital_asset_1	miner_clothing_container worker_clothing_container weapon_container electrical_parts_container ai_module communication_relay quasi_sensor_device geoscanner_device medical_equipment chemical_analyzer hydraulic_pump packaged_recreational_robot itemChip mediumItemChip highItemChip merkUSB classUSB	resistant_prod_2	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container regular_food_container water_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	regular_clothing_container weapon_container robot_parts_container ai_module medical_equipment quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components\r
Blade	power_action_4 power_action_2 other_industry_7	luxury_food_container alcogol_container regular_clothing_container miner_clothing_container worker_clothing_container scientist_clothing_container security_clothing_container weapon_container armor_container tool_container geoscanner_device welding_machine_device chemical_analyzer quasiresearch_disk entertainment_software precious_metals itemChip mediumItemChip highItemChip merkUSB classUSB	resistant_prod_2	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container regular_food_container water_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	regular_clothing_container weapon_container robot_parts_container ai_module medical_equipment quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components\r
SampoQuern	food_industry_1 food_industry_2 food_industry_3 food_industry_4	regular_clothing_container worker_clothing_container ai_module scientific_equipment research_disk prototype_schematics precious_metals gunbang_magazine medical_components itemChip mediumItemChip highItemChip merkUSB classUSB	resistant_prod_2	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container regular_food_container water_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	regular_clothing_container weapon_container robot_parts_container ai_module medical_equipment quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components\r
VenusTwo	food_mining_4 food_mining_2 transit_6	regular_clothing_container worker_clothing_container ai_module scientific_equipment research_disk prototype_schematics precious_metals gunbang_magazine medical_components itemChip mediumItemChip highItemChip merkUSB classUSB	resistant_prod_2	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container regular_food_container water_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	regular_clothing_container weapon_container robot_parts_container ai_module medical_equipment quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components\r
PromisedLand	food_mining_1 food_mining_2	regular_clothing_container worker_clothing_container ai_module scientific_equipment research_disk prototype_schematics precious_metals gunbang_magazine medical_components itemChip mediumItemChip highItemChip merkUSB classUSB	resistant_prod_2	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container regular_food_container water_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	regular_clothing_container weapon_container robot_parts_container ai_module medical_equipment quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components\r
HeritageStation	spy_mining_1 spy_mining_2 spy_mining_3 capital_asset_1	luxury_food_container alcogol_container regular_clothing_container miner_clothing_container worker_clothing_container scientist_clothing_container security_clothing_container weapon_container armor_container tool_container geoscanner_device welding_machine_device chemical_analyzer quasiresearch_disk entertainment_software precious_metals itemChip mediumItemChip highItemChip merkUSB classUSB	resistant_prod_2	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container regular_food_container water_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	regular_clothing_container weapon_container robot_parts_container ai_module medical_equipment quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components\r
ArcadisTerminal	prod_mining_3 capital_asset_1 power_action_3	servo_backpack regular_food_container electrical_parts_container quasi_sensor_device management_unit darknet_unit military_unit drug_cargo gunbang_magazine itemChip mediumItemChip highItemChip merkUSB classUSB	resistant_prod_2	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container regular_food_container water_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	regular_clothing_container weapon_container robot_parts_container ai_module medical_equipment quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components\r
PineGapTraining	power_action_1 power_action_3 power_action_2 capital_asset_1	military_food_container communication_relay mining_equipment construction_equipment memory_software entertainment_software packaged_recreational_robot itemChip mediumItemChip highItemChip merkUSB classUSB	resistant_prod_2	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container regular_food_container water_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	regular_clothing_container weapon_container robot_parts_container ai_module medical_equipment quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components\r
Skylab	science_mining_1 science_mining_2 transit_3 science_devices_6	moon_crossbow mercury_staff moon_heavy_armor moon_armor azt_light_armor azt_heavy_armor venus_armor_shards moon_armor_shards demonic_aye skull_explosion skull_ray skull_contract_mercury skull_bloodstrike skull_bloodlust skull_call_of_blood skull_contract_venus skull_transformation skull_resurrection skull_contract_luna itemChip mediumItemChip highItemChip merkUSB classUSB	resistant_prod_2	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container regular_food_container water_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	regular_clothing_container weapon_container robot_parts_container ai_module medical_equipment quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components\r
ISSStation	science_devices_1 science_devices_2 science_devices_3	moon_crossbow mercury_staff moon_heavy_armor moon_armor azt_light_armor azt_heavy_armor venus_armor_shards moon_armor_shards demonic_aye skull_explosion skull_ray skull_contract_mercury skull_bloodstrike skull_bloodlust skull_call_of_blood skull_contract_venus skull_transformation skull_resurrection skull_contract_luna itemChip mediumItemChip highItemChip merkUSB classUSB	resistant_prod_2	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container regular_food_container water_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	regular_clothing_container weapon_container robot_parts_container ai_module medical_equipment quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components\r
Akatsuki	science_industry_5 science_industry_6 science_industry_7 science_industry_8 capital_asset_1	moon_crossbow mercury_staff moon_heavy_armor moon_armor azt_light_armor azt_heavy_armor venus_armor_shards moon_armor_shards demonic_aye skull_explosion skull_ray skull_contract_mercury skull_bloodstrike skull_bloodlust skull_call_of_blood skull_contract_venus skull_transformation skull_resurrection skull_contract_luna itemChip mediumItemChip highItemChip merkUSB classUSB	resistant_prod_2	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container regular_food_container water_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	regular_clothing_container weapon_container robot_parts_container ai_module medical_equipment quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components\r
