	English						
ui.label.faction_diplomacy	Faction diplomacy						
ui.label.faction_diplomacy_shortdesc	Relations with other factions						
ui.label.no_information	No information						
ui.label.faction_relations	Relations with faction						
ui.label.reputation_level	Reputation level						
ui.label.faction_techs	Faction techs						
ui.label.faction_techs_shortdesc	Technological development						
ui.label.faction_power	Faction power						
ui.label.faction_power_shortdesc	Projection of station power						
ui.label.info	Info						
ui.label.military_operation	Military operation						
ui.label.swap_mission_side	Change side						
ui.label.peacemissionname	Peaceful visit						
ui.label.weapons	weapons						
ui.label.reclonning	Re-Clone Mercenary						
ui.difficulty.EnemyHealth	Enemy HP						
ui.difficulty.DeathGift	Emergency case						
ui.difficulty.EvacRules	Evacuation rules						
ui.difficulty.EvacRules.free_evac	Any time						
ui.difficulty.EvacRules.chip_evac	Chip obtained						
ui.difficulty.EvacRules.mission_evac	Mission done						
ui.difficulty.Autosave	Floor restart on death						
ui.difficulty.RevivePenalty	Cloning						
ui.difficulty.RevivePenalty.no_penalty	Instant						
ui.difficulty.RevivePenalty.new_clone	Takes time						
ui.difficulty.RevivePenalty.lose_chip	Need new chip						
ui.difficulty.DropPenalty	Equipment on death						
ui.difficulty.DropPenalty.none	Not lost						
ui.difficulty.DropPenalty.bag	Only backpack						
ui.difficulty.DropPenalty.full	All						
ui.difficulty.LosePerks	Lose perks on death						
ui.difficulty.LoseRank	Lose rank on death						
ui.difficulty.ExpMult	Perk XP Needed						
ui.difficulty.StartingEquip	Starting equipment						
ui.difficulty.StartingEquip.none	None						
ui.difficulty.StartingEquip.low	Few						
ui.difficulty.StartingEquip.normal	Normal						
ui.difficulty.StartingEquip.high	Many						
ui.difficulty.FactionGrowthSpeed	Faction growth						
ui.difficulty.FactionReputation	Reputation with factions						
ui.difficulty.MissionRewardPoints	Mission reward points						
ui.difficulty.BarterValue	Dignitas for selling						
ui.difficulty.MonsterPoints	Number of enemies						
ui.difficulty.ItemPoints	Number of items						
ui.difficulty.EnemyLos	Enemy sight range						
ui.difficulty.EnemyDamageMult	Enemy damage						
ui.difficulty.EnemyResistance	Enemy resistances						
ui.difficulty.QmorphLevelGrowth	Quasimorphosis growth						
ui.difficulty.QmorphStatsAffect	Quasimorphosis effects						
ui.difficulty.EnemyActionPoint	Enemy AP						
ui.difficulty.MagnumCraftingTime	Crafting speed						
ui.difficulty.StartingMercCount	Starting operatives						
ui.difficulty.StartingClassesCount	Starting classes						
ui.difficulty.RndMercsAtStart	Random starting operatives						
ui.difficulty.RndClassesAtStart	Random starting classes						
ui.difficulty.RndStartingEquip	Random starting equipment						
ui.difficulty.EquipRepairAfterMission	Repair after missions						
ui.difficulty.SmoothProgression	Difficulty curve						
ui.difficulty.Tutorial	Tutorial						
ui.difficulty.RndStartLocation	Random starting location						
ui.difficulty.Easy.name	Easy						
ui.difficulty.Normal.name	Normal						
ui.difficulty.Hard.name	Unfair						
ui.difficulty.Custom.name	Custom						
ui.difficulty.Easy.desc	Evacuation at any time<br><br>Weak enemies<br><br>Increased rewards<br><br>Autosaves on each floor<br><br>						
ui.difficulty.Normal.desc	Standard game difficulty						
ui.difficulty.Hard.desc	Factions hate you<br><br>Stronger enemies<br><br>No early evacuation<br><br>Operative chips are one use only<br><br>						
ui.caption.takeall	take all						
ui.caption.inventory	INVENTORY						
ui.caption.skullproject	S.K.U.L.L. PROJECT						
ui.caption.health	HEALTH						
ui.caption.operatorclass	OPERATIVE'S CLASS						
ui.caption.death	DEATH						
ui.caption.equipmentweight	EQUIPMENT WEIGHT						
ui.caption.floor	FLOOR						
ui.caption.corpse	REMAINS						
ui.caption.store	STORAGE						
ui.caption.operationmanagement	MISSION MANAGEMENT						
ui.caption.bugreport	REPORT						
ui.caption.starmap	system map						
ui.caption.ship	spacecraft						
ui.caption.newsline	stock exchange						
ui.caption.startoperation	start mission						
ui.caption.visitstation	visit station						
ui.caption.leavestation	leave station						
ui.caption.cargo	Cargo Hold						
ui.caption.stationcargo	station cargo						
ui.caption.exchangearea	exchange area						
ui.caption.minimap	MINIMAP						
ui.caption.missionfinished	Mission Complete						
ui.caption.evacuationfinished	Evacuation Complete						
ui.caption.resources	Resources						
ui.caption.itemproduction	Production						
ui.caption.magnum	MAGNUM PMC						
ui.caption.selectmerc	Select operator						
ui.caption.selectclass	Select class						
ui.caption.selectequipment	Select equipment						
ui.caption.peacefulvisit	Peaceful station visit						
ui.caption.selectproduceitem	Select the item to produce						
ui.caption.disclaimer	disclaimer						
ui.caption.savedgames	Saved Games						
ui.caption.autonomecapsule	Capsule						
ui.caption.tradeshuttle	Trade shuttle						
ui.caption.missionstatistic	MISSION {0} COMPLETED						
ui.missionstatistic.beneficiar	{0} as a beneficiary received:						
ui.missionstatistic.victim	{0} as a victim lost:						
ui.missionstatistic.reward	{0} reward:						
ui.hud.caption.takeskull	take						
ui.hud.caption.leaveskull	leave						
ui.hud.caption.outofammo	out of ammo						
ui.hud.caption.needreload	needs to reload						
ui.hud.caption.weapondamaged	weapon damaged						
ui.hud.caption.class	class						
ui.hud.qmorph.posdelta	descent 						
ui.hud.qmorph.negdelta	ascent						
ui.hud.health.posdelta	healing						
ui.hud.health.negdelta	damage						
ui.hud.qmorphos.stage	q-morphosis phase						
ui.hud.qmorphos.eccolapse_chance	eccolapse chance						
ui.hud.qmorphos.muscle_mass	damage						
ui.hud.qmorphos.dmg_immunity	damage resistance						
ui.hud.qmorphos.regeneration	health						
ui.hud.qmorphos.aggresivnes	aggression						
ui.hud.qmorphos.nextphaseon	next phase on						
notification.perklevelup	{0} increased to {1}						
notification.perklevelup.level	level {0}						
notification.unlockmerc	unlocked mind chip {0}						
notification.unlockmercclass	unlocked class chip {0}						
notification.unlockitem	unlocked item chip {0}						
notification.itemproduced	item {0} produced						
notification.projectdeveloped	Project {0} finished						
notification.missionadded	Found mission {0}						
notification.floorscanned	Floor scanned						
notification.merc_cloned	Cloning complete: {0}						
notification.merc_healed	Healing complete: {0}						
notification.merc_trained	Training {0}: {1} leveled up to {2}						
notification.deconstruction_completed	Disassembly complete						
notification.tradeshuttle.arrived	Trade shuttle has arrived						
notification.tradeshuttle.dispatch	Trade shuttle has been dispatched						
ui.map.signallost	signal lost...						
ui.qmorphos.low	low						
ui.qmorphos.medium	medium						
ui.qmorphos.high	high						
ui.raidscreen.peacefulstationvisit	<color=#FFFEC1>Task:</color> This is a peaceful visit to the station. We can evacuate from here at any moment.						
ui.magnum.ready	Ready: {0}/{1}						
ui.magnum.projects_available	Projects: {0}/{1}						
ui.magnum.project.develope	"Project ""{0}"""						
ui.magnum.training_available	Training: {0}/{1}						
ui.magnum.producing_now	Producing: {0}/{1}						
ui.magnum.recycling_now	Time left to recycle						
ui.magnum.tradeshuttle.ready	Ready to send						
ui.magnum.tradeshuttle.arrivedtime	On the way: {0}						
ui.magnum.tradeshuttle.cooldown	Recharging: {0}						
ui.magnum.operators_training_list	Operator training list						
ui.magnum.project.no_mods_selected	Improvements not selected						
ui.magnum.project.insufficient_resources	Not enough resources						
ui.magnum.project.mods_limit_reached	Modification limit reached						
ui.magnum.project.selectitem	Select the item to develop						
ui.magnum.project.selectoperator	Select the operator to develop						
ui.magnum.project.selectclass	Select the class to develop						
ui.magnum.project.Armors.devlist	Armor development list						
ui.magnum.project.Weapons.devlist	Weapons development list						
ui.magnum.project.Operators.devlist	Operator development list						
ui.magnum.project.Classes.devlist	Classes development list						
ui.starmap.travelinfo	travel from {0} to {1} 						
ui.controls.Common	general						
ui.controls.Game	Gameplay						
ui.controls.System	System						
ui.controls.bindKey	Press a key to bind:						
ui.controls.bindEscTip	Press {0} to cancel binding						
ui.controls.forbidBindKey	Cannot be rebound						
ui.controls.confirmReset	Are you sure you want to reset key bindings to default settings?						
gamekey.Space	SPACE						
gamekey.MouseLeftButton	LMB						
gamekey.MouseRightButton	RMB						
gamekey.ArrowUp	UP						
gamekey.ArrowDown	DOWN						
gamekey.ArrowLeft	LEFT						
gamekey.ArrowRight	RIGHT						
gamekey.Inventory.desc	Inventory						
gamekey.HealthMonitor.desc	health monitor						
gamekey.Help.desc	help						
gamekey.Map.desc	Minimap / System map						
gamekey.ClassWindow.desc	operative's class						
gamekey.RaidWindow.desc	operation management						
gamekey.ProjectSkull.desc	S.K.U.L.L. Project						
gamekey.PrimaryAction.desc	Move / Attack / Interact						
gamekey.SecondaryAction.desc	Alt. action / Change the direction of looking / Context Menu						
gamekey.ItemInteraction.desc	Take item / Take all / Trade						
gamekey.UltimatePerk.desc	Active perk						
gamekey.ArrowUp.desc	Move up						
gamekey.ArrowDown.desc	Move down						
gamekey.ArrowLeft.desc	Move left						
gamekey.ArrowRight.desc	Move right						
gamekey.ArrowUpLeft.desc	Move up and left						
gamekey.ArrowUpRight.desc	Move up and right						
gamekey.ArrowDownLeft.desc	Move down and left						
gamekey.ArrowDownRight.desc	Move down and right						
gamekey.ChangeMoveModeLeft.desc	Change move mode (slower)						
gamekey.ChangeMoveModeRight.desc	Change move mode (faster)						
gamekey.SwapWeapon.desc	Swap weapon						
gamekey.SwapAttackMode.desc	Swap attack mode						
gamekey.ReloadWeapon.desc	weapon reload						
gamekey.SkipTurn.desc	Skip turn						
gamekey.HighlightAllItems.desc	Highlight map objects in sight range						
gamekey.Evacuation.desc	Evacuation / Leave station						
gamekey.VestSlot1.desc	Vest slot 1						
gamekey.VestSlot2.desc	Vest slot 2						
gamekey.VestSlot3.desc	Vest slot 3						
gamekey.VestSlot4.desc	Vest slot 4						
gamekey.VestSlot5.desc	Vest slot 5						
gamekey.Menu.desc	Menu / Back						
gamekey.Report.desc	report a bug						
gamekey.ZoomInCamera.desc	Camera zoom in						
gamekey.ZoomOutCamera.desc	Camera zoom out						
gamekey.Confirm.desc	yes						
gamekey.Cancel.desc	no						
ui.newsline.ConquestStart	%BENEFICIARY_NAME% is interested in purchasing %STATION_NAME% (%SPACEOBJECT_NAME%). %VICTIM_NAME% refuses to give up the asset. Direct action is possible.						
ui.newsline.ConquestEndGood	%BENEFICIARY_NAME% has taken ownership of %STATION_NAME% (%SPACEOBJECT_NAME%).						
ui.newsline.ConquestEndFail	%VICTIM_NAME% retains %STATION_NAME% (%SPACEOBJECT_NAME%) asset. They accuse %BENEFICIARY_NAME% of trying to take over by force.						
ui.newsline.EliminationStart	%BENEFICIARY_NAME% is looking for ways to eliminate the important employee of %VICTIM_NAME% in %STATION_NAME% (%SPACEOBJECT_NAME%).						
ui.newsline.EliminationEndGood	%VICTIM_NAME% lost a valuable employee in %STATION_NAME% (%SPACEOBJECT_NAME%). They accuse %BENEFICIARY_NAME% of hiring PMCs for this purpose.						
ui.newsline.EliminationEndFail	PMCs hired by %BENEFICIARY_NAME% failed an attempt to eliminate employee %VICTIM_NAME% in %STATION_NAME% (%SPACEOBJECT_NAME%). A conflict flares. Appeal to NCE is possible.						
ui.newsline.EspionageStart	%BENEFICIARY_NAME% is taking a keen interest in what's going on in %STATION_NAME% (%SPACEOBJECT_NAME%). %VICTIM_NAME% is afraid of espionage actions carried out by PMCs.						
ui.newsline.EspionageEndGood	%BENEFICIARY_NAME% received data from %STATION_NAME% (%SPACEOBJECT_NAME%). %VICTIM_NAME% is trying to prove a violation of the NCE.						
ui.newsline.EspionageEndFail	A PMC hired by %BENEFICIARY_NAME% failed a mission in %STATION_NAME% (%SPACEOBJECT_NAME%). %VICTIM_NAME% can jump to counter measures.						
ui.newsline.SabotageStart	%STATION_NAME% (%SPACEOBJECT_NAME%) interferes with %BENEFICIARY_NAME%. Diversion attempts are expected. %VICTIM_NAME% is preparing for defense.						
ui.newsline.SabotageEndGood	There has been a sabotage at %STATION_NAME% (%SPACEOBJECT_NAME%). %VICTIM_NAME% blames %BENEFICIARY_NAME%.						
ui.newsline.SabotageEndFail	Failed sabotage attempt at %STATION_NAME% (%SPACEOBJECT_NAME%). %BENEFICIARY_NAME% denies %VICTIM_NAME%'s accusations of using PMCs.						
ui.newsline.DefenseStart	%STATION_NAME% (%SPACEOBJECT_NAME%) is under attack by a PMC. %BENEFICIARY_NAME% is blaming %VICTIM_NAME% for the attack.						
ui.newsline.DefenseEndGood	%BENEFICIARY_NAME% retains control over %STATION_NAME% (%SPACEOBJECT_NAME%).						
ui.newsline.DefenseEndFail	%BENEFICIARY_NAME% has lost control of asset %STATION_NAME% (%SPACEOBJECT_NAME%). New station owner: %VICTIM_NAME%.						
ui.newsline.FactionStatusChange	Leading market analysts report that %BENEFICIARY_NAME% has changed their strategy to {0}.						
ui.newsline.StatisticsPower	The Hexarchy notifies that the power of %BENEFICIARY_NAME% has reached {0}.						
ui.newsline.StatisticsTech	Industrial analysts rate %BENEFICIARY_NAME% technical level as having reached {0}.						
ui.newsline.HighProductDemand	Huge %PRODUCT% shortage at %STATION_NAME% controlled by %BENEFICIARY_NAME% in the sector of %SPACEOBJECT_NAME%.						
ui.newsline.LowProductDemand	Overproduction has caused a surplus of %PRODUCT% at %STATION_NAME% controlled by %BENEFICIARY_NAME% in the sector of %SPACEOBJECT_NAME%.						
ui.newsline.FactionDestroyed	%VICTIM_NAME% has left the corporate world.						
ui.newsline.RitualStart	There is unrest among the staff at %STATION_NAME% (%SPACEOBJECT_NAME%). %BENEFICIARY_NAME% is suspected of organizing the unrest. The owner of the station %VICTIM_NAME% has sent additional forces to eliminate them.						
ui.newsline.RitualEndGood	%VICTIM_NAME% reports that the disturbance at %STATION_NAME% (%SPACEOBJECT_NAME%) has been resolved. The facility is operating normally.						
ui.newsline.RitualEndFail	Analysts report personnel riots at %STATION_NAME% (%SPACEOBJECT_NAME%) owned by %VICTIM_NAME%. %BENEFICIARY_NAME% is accused of supporting the rioters.						
ui.newsline.RobberyStart	Attention! %BENEFICIARY_NAME% is planning to attack %STATION_NAME% (%SPACEOBJECT_NAME%). %VICTIM_NAME% is preparing to defend itself.						
ui.newsline.RobberyEndGood	%VICTIM_NAME% has suffered an attack by %BENEFICIARY_NAME% on %STATION_NAME% (%SPACEOBJECT_NAME%). Damage and loss of valuable equipment reported.						
ui.newsline.RobberyEndFail	%VICTIM_NAME% reports the successful elimination of the threat from %BENEFICIARY_NAME% on %STATION_NAME% (%SPACEOBJECT_NAME%).						
ui.newsline.InfiltrationStart	Increased espionage activity reported around %STATION_NAME% (%SPACEOBJECT_NAME%). Experts believe that %VICTIM_NAME% is hunting for vital data from the station owner %BENEFICIARY_NAME%.						
ui.newsline.InfiltrationEndGood	%BENEFICARY_NAME% faction reports the successful elimination of %VICTIM_NAME% spy network on %STATION_NAME% (%SPACEOBJECT_NAME%).						
ui.newsline.InfiltrationEndFail	%STATION_NAME% (%SPACEOBJECT_NAME%) owner %BENEFICARY_NAME% accuses %VICTIM_NAME% of stealing classified data.						
ui.newsline.ControlStart	The cargo spacecraft of the owner %BENEFICIARY_NAME% has attracted the attention of %VICTIM_NAME%. Analysts do not rule out the possibility of armed conflicts on %STATION_NAME% (%SPACEOBJECT_NAME%).						
ui.newsline.ControlEndGood	%BENEFICIARY_NAME% reports a repelled attack on the cargo spacecraft located at %STATION_NAME% (%SPACEOBJECT_NAME%). %VICTIM_NAME% is suspected of being the attacker.						
ui.newsline.ControlEndFail	%BENEFICIARY_NAME% has lost control of an important cargo located at %STATION_NAME% (%SPACEOBJECT_NAME%). %VICTIM_NAME% is suspected of seizing the cargo.						
ui.newsline.EscortStart	Security at %STATION_NAME% (%SPACEOBJECT_NAME%) has been increased. According to analysts, the station owner %BENEFICIARY_NAME% fears an attack on a valuable specialist by %VICTIM_NAME%.						
ui.newsline.EscortEndGood	%BENEFICIARY_NAME% successfully repelled an attack on the personnel of %STATION_NAME% (%SPACEOBJECT_NAME%). According to experts, the orderer was %VICTIM_NAME%.						
ui.newsline.EscortEndFail	%BENEFICIARY_NAME% has lost a valuable specialist on %STATION_NAME% (%SPACEOBJECT_NAME%). They accuse %VICTIM_NAME% of hiring a PMC to eliminate the employee.						
ui.newsline.CounterattackStart	Reports are coming in from %STATION_NAME% (%SPACEOBJECT_NAME%) of clashes between staff and security of %BENEFICIARY_NAME%. %VICTIM_NAME% is suspected of organizing the unrest.						
ui.newsline.CounterattackEndGood	Analysts report that the work of %STATION_NAME% (%SPACEOBJECT_NAME%), owned by %BENEFICIARY_NAME%, continues in normal mode. %VICTIM_NAME% failed to achieve its goals.						
ui.newsline.CounterattackEndFail	An armed uprising of personnel has been reported at %STATION_NAME% (%SPACEOBJECT_NAME%), owned be %BENEFICIARY_NAME%. %VICTIM_NAME% is suspected of organizing the unrest.						
ui.newsline.SecurityStart	There is information that %VICTIM_NAME% is planning to raid %STATION_NAME% (%SPACEOBJECT_NAME%), which is an asset of %BENEFICIARY_NAME%.						
ui.newsline.SecurityEndGood	The victim %BENEFICIARY_NAME% reports the successful elimination of the threat from %VICTIM_NAME% on %STATION_NAME% (%SPACEOBJECT_NAME%).						
ui.newsline.SecurityEndFail	%BENEFICIARY_NAME% has suffered an attack by %VICTIM_NAME% on %STATION_NAME% (%SPACEOBJECT_NAME%). Damage and loss of valuable equipment reported.						
ui.gameover.rest	Rest in peace.						
ui.gameover.reason.FallingDown	The agent's body {0} was never found. Considered missing.						
ui.gameover.reason.ReceiveDamage	The body of agent {0} was found with numerous wounds.						
ui.gameover.reason.Burned	The body of agent {0} was found completely charred, identified by dental records.						
ui.gameover.reason.Exploded	Fragments of the body of the agent {0} were found over the next six months. Buried in a closed coffin.						
ui.gameover.reason.Starvation	Agent {0}'s body was found showing signs of extreme exhaustion.						
ui.gameover.reason.AmputatedCriticalPart	The decapitated body of agent {0} left the investigation puzzled.						
ui.gameover.reason.WoundActionDamage	The body of agent {0} was found with extensive injuries to the upper limbs.						
ui.gameover.reason.WoundDotDamage	Agent {0} died due to massive bleeding.						
ui.gameover.reason.WoundEatDamage	Agent {0} died as a result of food poisoning.						
ui.gameover.reason.WoundMoveDamage	The body of agent {0} was found with extensive injuries to the lower extremities.						
ui.gameover.reason.AbortMission	Mission aborted by order of the management. Agent {0} is considered missing.						
ui.gameover.reason.PoisonDotDamage	Agent {0} died as a result of toxin poisoning.						
ui.gamefinished.message	Agent {0} successfully evacuated to the home base.						
ui.hud.caption.healthmonitor	health monitor						
ui.healthmonitor.healthmonitor	health monitor						
ui.healthmonitor.regen	regen						
ui.healthmonitor.atrophy	atrophy						
ui.healthmonitor.pain	pain threshold						
ui.healthmonitor.nut	fullness / metabolism						
ui.healthmonitor.air	air						
ui.healthmonitor.infection	infection						
ui.healthmonitor.poison	poisoning						
ui.mercclass.range	ranged combat						
ui.mercclass.melee	close combat						
ui.mercclass.defense	defense						
ui.mercclass.basicaccuracy	basic accuracy						
ui.mercclass.visiondistance	vision distance						
ui.mercclass.hitchance	hit chance						
ui.mercclass.handsdamage	hand damage						
ui.mercclass.meleeboost	damage bonus						
ui.mercclass.dodgechance	dodge chance						
ui.mercclass.weaponsdamage	damage bonus						
ui.mercclass.meleecritchance	crit. chance						
ui.escscreen.resume	resume						
ui.escscreen.quitandsave	save and quit						
ui.escscreen.quit	quit						
ui.itemproduction.all	all						
ui.itemproduction.rangeweapons	range weapon						
ui.itemproduction.meleeweapons	melee weapon						
ui.itemproduction.ammo	ammo						
ui.itemproduction.armors	armors						
ui.itemproduction.medicine	medicine						
ui.itemproduction.other	other						
ui.settings.general	general						
ui.settings.graphics	graphics						
ui.settings.sound	sound						
ui.settings.controls	controls						
ui.settings.credits	credits						
ui.settings.language	language						
ui.settings.back	back						
ui.settings.mastervolume	master volume						
ui.settings.musicvolume	music volume						
ui.settings.brightness	brightness						
ui.settings.vsync	v-sync						
ui.settings.shadows	shadows						
ui.settings.resolution	screen resolution						
ui.settings.screenmode	screen mode						
ui.settings.fullscreen	fullscreen						
ui.settings.window	window						
ui.settings.borderlesswindow	borderless window						
ui.settings.largetext	large text						
ui.settings.showhintsonmap	Contextual tips						
ui.settings.tutorialhints	Jane's tips						
ui.settings.lockcursor	Lock cursor						
ui.settings.showskin	Bramfaturian Magnum						
ui.settings.shiftattack	Precision shooting						
ui.settings.skiparrival	skip shuttle arrival						
ui.settings.fasttrade	Fast trading						
ui.settings.shakecamera	Camera shaking						
ui.settings.changessaveauto	changes applied automatically						
ui.settings.resetsettings	Reset to defaults						
ui.settings.lockcamera	Locked camera						
ui.settings.showtextistant	Animated text						
ui.settings.enchantedtooltip	Enhanced tooltip						
ui.settings.mutesoundonfocuslost	Mute game sound on focus lost						
ui.settings.hdr	HDR						
ui.settings.chromaber	Chromatic aberration						
ui.settings.centercameraonmove	Center camera on player move						
ui.settings.creatureanimspeed	Animation speed						
